Code compiled on Mar 13 2026 at 16:53:56
ï»¿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.595
Air Density (kg/m^3),1.254
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,2
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Locko-1.091170,-0.122255,37.159428,0.094781,1.121860,27.357259,-0.335754,0.415234,19.999883,0.000000,0.000000,
231977410,3.686874,14.288139,2,-0.749451,0.004456,-0.004456,0.662048,-3.933850,-1.298578,104.459374,-0.464096,3.832248,94.669746,2.151816,21.918503,93.110348,0.000000,0.000000,
231988169,3.009170,14.301770,2,-0.744995,0.004150,-0.003967,0.666992,-6.181202,-0.019630,103.781811,0.484451,6.236923,93.976893,2.479688,23.050340,93.744704,0.000000,0.000000,
231997678,3.592117,14.292683,2,-0.746338,0.004395,-0.003662,0.665588,-5.453636,-0.294664,103.615240,0.256694,5.555413,93.809120,2.815478,24.100299,93.791860,0.000000,0.000000,
232007553,3.592117,14.292683,2,-0.750244,0.004028,-0.004028,0.661133,-5.662453,-0.958926,103.371692,-0.490318,5.577867,93.579336,3.136381,25.133911,93.636282,0.000000,0.000000,
232018512,4.465561,14.279051,2,-0.754517,0.003723,-0.003540,0.656250,-7.643483,-2.055350,105.915778,-2.012946,7.391897,96.134257,3.551914,26.373640,95.464927,0.000000,0.000000,
232028003,4.772018,14.292683,2,-0.758484,0.003479,-0.002502,0.651672,-4.531320,-0.826390,102.715652,-0.646382,4.554482,92.915267,3.929580,27.427687,93.598447,0.000000,0.000000,
232037719,4.378525,14.292683,2,-0.762329,0.003113,-0.000854,0.647156,-5.501633,-0.818978,102.664141,-1.160202,5.661349,92.851653,4.245716,28.393013,93.051756,0.000000,0.000000,
232048806,5.063019,14.288139,2,-0.765808,0.002869,0.001282,0.643066,-5.973659,-1.139711,101.913503,-1.985486,6.295794,92.080709,4.648663,29.528818,92.340900,0.000000,0.000000,
232058239,5.754761,14.292683,2,-0.769104,0.002686,0.004272,0.639099,-5.777826,-0.880514,101.274602,-2.236831,6.482712,91.410053,5.042970,30.547225,91.659473,0.000000,0.000000,
232067994,5.754761,14.292683,2,-0.772217,0.002502,0.007751,0.635315,-5.988733,-1.120788,101.815674,-3.138398,7.049543,91.903599,5.417130,31.543638,91.838186,0.000000,0.000000,
232078752,6.636108,14.288139,2,-0.775146,0.002380,0.011841,0.631714,-6.076351,-1.706108,100.678239,-4.438891,7.474637,90.697170,5.884691,32.690063,91.002904,0.000000,0.000000,
232088364,6.832901,14.288139,2,-0.777771,0.002380,0.016479,0.628357,-6.245314,-1.481124,100.273984,-5.021791,8.241116,90.209113,6.298745,33.690304,90.421809,0.000000,0.000000,
232098063,8.115692,14.292683,2,-0.780090,0.002441,0.021545,0.625244,-6.562331,-2.018588,98.792670,-6.405480,8.990860,88.613733,6.812754,34.803715,89.098206,0.000000,0.000000,
232109054,8.414001,14.297227,2,-0.782104,0.002502,0.027039,0.622559,-6.621211,-2.201777,99.228181,-7.508211,9.676245,88.911503,7.362159,36.003873,88.961530,0.000000,0.000000,
232118397,9.092056,14.283595,2,-0.783752,0.002625,0.032959,0.620178,-6.848495,-1.915591,97.987962,-8.169159,10.615419,87.526224,7.876824,37.063917,87.910813,0.000000,0.000000,
232128304,9.390396,14.288139,2,-0.785034,0.002808,0.039246,0.618164,-7.135779,-2.545953,97.126413,-9.775355,11.457571,86.449194,8.400690,38.131082,86.840834,0.000000,0.000000,
232139014,9.885574,14.292683,2,-0.786072,0.002991,0.045776,0.616455,-7.268055,-2.585536,97.023806,-10.837660,12.353800,86.131049,8.963673,39.259886,86.321235,0.000000,0.000000,
232148630,10.877563,14.301770,2,-0.786316,0.003296,0.052734,0.615601,-7.571132,-2.622924,96.998654,-11.975224,13.491403,85.837591,9.538102,40.352424,85.967184,0.000000,0.000000,
232158185,11.554230,14.288139,2,-0.786011,0.003601,0.059692,0.615295,-7.875085,-3.382294,96.097090,-13.715837,14.393727,84.607100,10.130451,41.440676,84.971534,0.000000,0.000000,
232169192,12.247436,14.292683,2,-0.785339,0.003967,0.066711,0.615417,-8.043534,-3.216735,95.692201,-14.545434,15.440903,83.914508,10.804878,42.657003,84.197738,0.000000,0.000000,
232178692,13.428314,14.292683,2,-0.784119,0.004333,0.073669,0.616150,-8.392483,-3.549455,94.836701,-15.807631,16.500350,82.695273,11.478164,43.807580,83.097858,0.000000,0.000000,
232189786,13.814422,14.283595,2,-0.782532,0.004700,0.080383,0.617371,-8.887636,-4.027429,94.184331,-17.194388,17.665018,81.626149,12.204685,45.036898,82.020493,0.000000,0.000000,
232199134,14.609344,14.292683,2,-0.780518,0.005127,0.086975,0.619019,-8.934394,-3.855866,93.497071,-17.775302,18.539708,80.625806,12.871655,46.125835,80.999512,0.000000,0.000000,
232208915,15.893097,14.297227,2,-0.778259,0.005615,0.093262,0.620972,-9.181457,-4.186019,92.972414,-18.839320,19.487382,79.703146,13.630783,47.323687,80.050507,0.000000,0.000000,
232219689,16.869659,14.288139,2,-0.775818,0.006226,0.099182,0.623047,-9.439347,-4.624612,92.486675,-19.909716,20.400619,78.805071,14.471435,48.619816,79.138785,0.000000,0.000000,
232229203,17.948974,14.283595,2,-0.773376,0.006836,0.104736,0.625183,-9.609166,-4.300584,92.083477,-20.171542,21.372660,78.093686,15.287815,49.845179,78.373720,0.000000,0.000000,
232239005,17.562713,14.292683,2,-0.770996,0.007690,0.109741,0.627258,-9.753743,-5.132998,90.946278,-21.326500,21.921905,76.558158,16.008886,50.909272,77.044637,0.000000,0.000000,
232250084,18.845795,14.297227,2,-0.768616,0.008606,0.114258,0.629333,-10.169115,-4.949549,90.158552,-21.504797,22.941489,75.452567,16.863180,52.135667,75.879162,0.000000,0.000000,
232259498,19.822662,14.288139,2,-0.766174,0.009644,0.118164,0.631592,-10.056000,-4.338643,89.951928,-21.143639,23.585754,75.092921,17.655418,53.252867,75.303594,0.000000,0.000000,
232269240,20.019714,14.288139,2,-0.763611,0.010681,0.121460,0.634033,-10.289650,-4.748751,89.366547,-21.690670,24.228130,74.206126,18.415504,54.301229,74.500193,0.000000,0.000000,
232280272,20.516418,14.292683,2,-0.761169,0.011963,0.124084,0.636475,-10.215203,-5.156402,88.302060,-21.970886,24.444718,72.947421,19.230436,55.394627,73.363485,0.000000,0.000000,
232289663,21.201996,14.288139,2,-0.758911,0.013306,0.125916,0.638733,-10.232928,-4.830446,88.207507,-21.607834,24.970013,72.767230,19.952353,56.350559,72.926996,0.000000,0.000000,
232299388,21.595581,14.288139,2,-0.756531,0.014587,0.127014,0.641357,-10.187335,-4.890457,86.259182,-21.203511,24.934108,70.803148,20.668841,57.264686,71.372232,0.000000,0.000000,
232310442,21.398529,14.288139,2,-0.753540,0.015686,0.127319,0.644714,-10.009761,-4.631405,85.591541,-20.567463,24.983611,70.198829,21.379516,58.140868,70.513241,0.000000,0.000000,
232319913,21.996948,14.297227,2,-0.750000,0.016724,0.126831,0.648926,-10.178553,-4.426229,85.187074,-19.955245,25.321993,69.825655,21.995425,58.887179,70.009893,0.000000,0.000000,
232329622,22.091888,14.292683,2,-0.745972,0.017517,0.125549,0.653748,-9.533361,-4.856411,84.311874,-19.700335,24.596930,69.123455,22.580085,59.571501,69.360975,0.000000,0.000000,
232340387,22.478302,14.283595,2,-0.741150,0.018127,0.123596,0.659607,-9.127367,-3.914014,82.869837,-17.945793,24.115940,68.054972,23.215040,60.290585,68.404915,0.000000,0.000000,
232349946,22.682617,14.292683,2,-0.735291,0.018372,0.120850,0.666626,-9.087195,-3.758444,82.622589,-17.101556,23.995438,68.010031,23.740903,60.867442,68.115839,0.000000,0.000000,
232360693,23.178955,14.297227,2,-0.728638,0.018311,0.117432,0.674500,-8.574672,-3.865991,82.201548,-16.389001,23.262569,67.893835,24.342436,61.520392,67.953321,0.000000,0.000000,
232370057,23.667572,14.292683,2,-0.721069,0.018066,0.113403,0.683289,-7.939824,-2.916186,80.699083,-14.409257,22.204891,66.903100,24.853538,62.053805,67.184506,0.000000,0.000000,
