Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment
48306200,-0.108644,25.641979,1,0.495544,-0.612244,-0.201416,0.582275,-4.79,-8.79,2.29,-0.338713,0.663194,0.437702,0,0,0,0.5,0.5
48316629,0.359526,25.637342,1,0.495544,-0.612183,-0.201416,0.582336,-4.77,-8.77,2.28,-0.331375,0.667344,0.408989,0.001011,0.002844,0.272659,0.5,0.5
48324904,-0.194048,25.655891,1,0.495544,-0.612183,-0.201416,0.582336,-4.75,-8.85,2.28,-0.300119,0.71804,0.466026,-0.000023,0.006619,0.41329,0.5,0.5
48333509,-0.194048,25.655891,1,0.495605,-0.612122,-0.201416,0.582336,-4.77,-8.79,2.28,-0.324684,0.675839,0.42594,-0.001547,0.010253,0.422546,0.5,0.5
48343600,0.19026,25.665165,1,0.495605,-0.612122,-0.201416,0.582336,-4.48,-8.89,2.28,-0.221837,0.957503,0.361223,0.000663,0.013981,0.377656,0.5,0.5
48352687,0.007628,25.674439,1,0.495667,-0.612061,-0.201416,0.582336,-5.01,-8.87,2.43,-0.492775,0.568079,0.64198,0.000919,0.019858,0.571154,0.5,0.5
48362149,0.20262,25.683713,1,0.495667,-0.612,-0.201477,0.582336,-4.61,-8.85,2.37,-0.348429,0.866576,0.409836,0.004353,0.023896,0.453061,0.5,0.5
48373050,0.20262,25.683713,1,0.495728,-0.612,-0.201477,0.582336,-4.75,-9.12,2.6,-0.502665,0.952266,0.747937,0.008331,0.032137,0.668925,0.5,0.5
48382297,0.775252,25.692988,1,0.495728,-0.612,-0.201477,0.582336,-4.77,-9.59,2.31,-0.087387,1.028713,1.104446,0.024677,0.043597,0.987748,0.5,0.5
48392145,0.494841,25.697625,1,0.495789,-0.611938,-0.201538,0.582336,-4.77,-9.5,2.5,-0.29294,1.052512,1.066326,0.036026,0.054941,1.045271,0.5,0.5
48403214,0.214964,25.702262,1,0.495728,-0.611938,-0.201477,0.582336,-4.44,-9.52,2.14,0.124048,1.207217,0.847431,0.041203,0.06479,0.900442,0.5,0.5
48412696,0.501524,25.706899,1,0.495789,-0.611938,-0.201477,0.582336,-4.52,-10.13,2.28,0.178949,1.454045,1.425636,0.054492,0.07976,1.284911,0.5,0.5
48422277,-0.058229,25.716173,1,0.495789,-0.611938,-0.201538,0.582336,-4.75,-9.67,2.52,-0.250149,1.149054,1.202522,0.052005,0.090909,1.224598,0.5,0.5
48431748,-0.058229,25.716173,1,0.495728,-0.611938,-0.201477,0.582397,-4.46,-9.12,1.93,0.178495,0.941891,0.485449,0.049428,0.095056,0.683504,0.5,0.5
48441010,0.136763,25.725447,1,0.495728,-0.611938,-0.201477,0.582397,-4.42,-9.58,2.35,-0.042968,1.327667,0.923315,0.05323,0.104001,0.859058,0.5,0.5
