Code compiled on Mar  5 2026 at 17:16:38
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,WT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.58
Air Density (kg/m^3),1.22
Rocket CD,0.5
Airbrake CD,0.75
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.1
Kalman Model V STD,0.2
Kalman Model A STD,0.5
Kalman Measurement Y STD,6
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),10
Control Max Velocity (dep/s),2

Calibration point: 219.628773
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
36070917,0.474667,24.524336,1,0.708679,0.322327,-0.608154,-0.155090,7.750000,6.130000,0.900000,-0.281302,-0.424748,0.104738,0.024245,0.038492,0.105502,0.250000,0.250000,
36080674,0.099239,24.524336,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.150000,0.950000,-0.324356,-0.447751,0.150753,0.028021,0.040796,0.138628,0.250000,0.250000,
36091022,-0.180134,24.528974,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.110000,0.900000,-0.269370,-0.464104,0.122308,0.018867,0.039603,0.126681,0.250000,0.250000,
36100653,0.378109,24.519698,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.090000,0.900000,-0.257437,-0.503461,0.139878,0.036063,0.045490,0.136342,0.250000,0.250000,
36109689,0.099239,24.524336,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.910000,-0.274745,-0.479024,0.138073,0.039478,0.047581,0.137609,0.250000,0.250000,
36119117,0.007824,24.528974,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.130000,0.900000,-0.277058,-0.436985,0.119978,0.038410,0.048270,0.124702,0.250000,0.250000,
36127428,0.007824,24.528974,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.130000,0.900000,-0.277058,-0.436985,0.119978,0.037326,0.048817,0.121244,0.250000,0.250000,
36135265,-0.362965,24.538249,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.160000,0.930000,-0.302596,-0.447183,0.171398,0.018036,0.044074,0.157959,0.250000,0.250000,
36145206,-0.175007,24.538249,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.090000,0.930000,-0.294784,-0.487033,0.110973,0.008894,0.042169,0.123563,0.250000,0.250000,
36153994,0.012447,24.538249,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.090000,0.910000,-0.279788,-0.469431,0.094683,0.009446,0.043055,0.102422,0.250000,0.250000,
36162826,0.103863,24.533612,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.150000,0.900000,-0.276259,-0.434340,0.148128,0.014604,0.045985,0.135881,0.250000,0.250000,
36173388,-0.170383,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.110000,0.900000,-0.269370,-0.464104,0.122308,0.005671,0.043990,0.125945,0.250000,0.250000,
36182414,-0.642841,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.070000,0.930000,-0.291339,-0.501915,0.098064,-0.027226,0.032709,0.105534,0.250000,0.250000,
36192041,-0.084110,24.533612,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.150000,0.910000,-0.281635,-0.449260,0.163893,-0.029843,0.033177,0.148255,0.250000,0.250000,
36202941,-0.358341,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.910000,-0.274745,-0.479024,0.138073,-0.046576,0.028050,0.140801,0.250000,0.250000,
36212411,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.090000,0.880000,-0.246686,-0.473622,0.108348,-0.042945,0.030428,0.117044,0.250000,0.250000,
36222009,0.394024,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.910000,-0.278190,-0.464142,0.150983,-0.019612,0.041476,0.141889,0.250000,0.250000,
36232846,-0.170383,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.090000,0.880000,-0.242442,-0.485860,0.123588,-0.027150,0.039394,0.128492,0.250000,0.250000,
36242225,0.109509,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.750000,6.090000,0.900000,-0.274413,-0.454512,0.078918,-0.019493,0.043364,0.092202,0.250000,0.250000,
36251559,0.296963,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.150000,0.910000,-0.281635,-0.449260,0.163893,-0.002128,0.052634,0.144683,0.250000,0.250000,
36262000,0.205547,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.150000,0.910000,-0.281635,-0.449260,0.163893,0.009608,0.059558,0.158745,0.250000,0.250000,
36271787,-0.921680,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.090000,0.910000,-0.267057,-0.506143,0.140403,-0.040166,0.036662,0.145318,0.250000,0.250000,
36281549,0.484936,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.150000,0.910000,-0.277391,-0.461497,0.179132,-0.011281,0.052503,0.170072,0.250000,0.250000,
36291650,0.109509,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.880000,-0.249331,-0.456095,0.149408,-0.004156,0.057348,0.154945,0.250000,0.250000,
36300861,-0.078968,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.930000,-0.293984,-0.484388,0.139123,-0.007718,0.056498,0.143362,0.250000,0.250000,
36309494,-0.170383,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.150000,0.900000,-0.276259,-0.434340,0.148128,-0.016154,0.053049,0.146851,0.250000,0.250000,
36319176,-0.358341,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.130000,0.930000,-0.301673,-0.457269,0.136793,-0.034473,0.044262,0.139488,0.250000,0.250000,
36326844,-0.078968,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.740000,6.130000,0.950000,-0.331521,-0.432040,0.099744,-0.036587,0.043659,0.110393,0.250000,0.250000,
36335419,0.109509,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.130000,0.930000,-0.301673,-0.457269,0.136793,-0.028133,0.049293,0.129719,0.250000,0.250000,
36345347,0.302105,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.930000,-0.293984,-0.484388,0.139123,-0.009335,0.060924,0.136603,0.250000,0.250000,
36354145,0.302105,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.930000,-0.293984,-0.484388,0.139123,0.008516,0.072081,0.138448,0.250000,0.250000,
36363106,-0.170383,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.740000,6.130000,0.950000,-0.331521,-0.432040,0.099744,-0.000800,0.067172,0.110114,0.250000,0.250000,
36373856,0.210171,24.556801,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.090000,0.900000,-0.257437,-0.503461,0.139878,0.011720,0.075628,0.131903,0.250000,0.250000,
36383019,-0.074345,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.870000,6.090000,0.910000,-0.258569,-0.530618,0.170883,0.007596,0.074272,0.160438,0.250000,0.250000,
36392765,0.403790,24.566077,1,0.708679,0.322327,-0.608154,-0.155090,7.750000,6.130000,0.900000,-0.281302,-0.424748,0.104738,0.030594,0.089045,0.119663,0.250000,0.250000,
36403493,0.210171,24.556801,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.110000,0.930000,-0.302472,-0.459913,0.108643,0.041685,0.096584,0.111596,0.250000,0.250000,
36413095,0.398144,24.556801,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.150000,0.900000,-0.272015,-0.446578,0.163367,0.062798,0.111178,0.149495,0.250000,0.250000,
36422870,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.880000,-0.245887,-0.470977,0.136498,0.061325,0.110830,0.139980,0.250000,0.250000,
36433950,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.900000,-0.268570,-0.461460,0.150458,0.060070,0.110834,0.147650,0.250000,0.250000,
36443223,0.205547,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.880000,-0.245887,-0.470977,0.136498,0.069416,0.117774,0.139486,0.250000,0.250000,
36452682,-0.165241,24.556801,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.130000,0.950000,-0.312424,-0.487108,0.168323,0.057105,0.110081,0.160596,0.250000,0.250000,
36463422,0.114132,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.150000,0.910000,-0.277391,-0.461497,0.179132,0.061572,0.114289,0.174166,0.250000,0.250000,
36473157,-0.358341,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.110000,0.900000,-0.273613,-0.451867,0.107068,0.038503,0.098041,0.125047,0.250000,0.250000,
36482817,0.581997,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.130000,0.910000,-0.282434,-0.451904,0.135743,0.070828,0.122066,0.132877,0.250000,0.250000,
36493691,0.490063,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.130000,0.930000,-0.301673,-0.457269,0.136793,0.096435,0.141329,0.135744,0.250000,0.250000,
36503229,0.484936,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.110000,0.910000,-0.270502,-0.491261,0.153313,0.120348,0.159652,0.148605,0.250000,0.250000,
36513222,0.109509,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.110000,0.930000,-0.289741,-0.496625,0.154363,0.121320,0.160718,0.152820,0.250000,0.250000,
36523981,0.114132,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.150000,0.910000,-0.290122,-0.424785,0.133413,0.122637,0.161837,0.138613,0.250000,0.250000,
36533588,-0.262302,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.150000,0.860000,-0.233537,-0.435849,0.161267,0.101677,0.145878,0.155197,0.250000,0.250000,
36543308,-0.074345,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.150000,0.900000,-0.280503,-0.422103,0.132888,0.092783,0.139072,0.138865,0.250000,0.250000,
36553598,0.114132,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.180000,0.930000,-0.306041,-0.432301,0.184307,0.095479,0.141955,0.172131,0.250000,0.250000,
36563358,-0.353214,24.556801,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.150000,0.910000,-0.285878,-0.437022,0.148653,0.070453,0.122198,0.154944,0.250000,0.250000,
36573267,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.880000,-0.245887,-0.470977,0.136498,0.068551,0.121024,0.141440,0.250000,0.250000,
36583838,0.302105,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.090000,0.900000,-0.265925,-0.478986,0.109398,0.083646,0.133479,0.117984,0.250000,0.250000,
36593698,-0.262302,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.910000,-0.278190,-0.464142,0.150983,0.064464,0.117975,0.142141,0.250000,0.250000,
36603339,0.114132,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.910000,-0.278190,-0.464142,0.150983,0.068558,0.121897,0.148614,0.250000,0.250000,
36614231,0.205547,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.090000,0.910000,-0.275545,-0.481669,0.109923,0.078043,0.129967,0.120290,0.250000,0.250000,
36623841,-0.262302,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.160000,0.950000,-0.326079,-0.440310,0.157208,0.059000,0.114150,0.147316,0.250000,0.250000,
36633794,-0.170383,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.830000,6.150000,0.930000,-0.296630,-0.466861,0.180183,0.046445,0.104170,0.171376,0.250000,0.250000,
36644520,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.070000,0.910000,-0.272100,-0.496551,0.097013,0.045836,0.103730,0.116939,0.250000,0.250000,
36654055,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.910000,-0.278190,-0.464142,0.150983,0.045138,0.103692,0.141861,0.250000,0.250000,
36663800,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.130000,0.880000,-0.249331,-0.456095,0.149408,0.044501,0.103690,0.147385,0.250000,0.250000,
36674904,-0.262302,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.090000,0.910000,-0.279788,-0.469431,0.094683,0.027188,0.088412,0.108805,0.250000,0.250000,
36684384,0.109509,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.150000,0.930000,-0.305117,-0.442387,0.149703,0.033000,0.094303,0.138744,0.250000,0.250000,
36694150,-0.074345,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.130000,0.900000,-0.272814,-0.449222,0.135218,0.027447,0.089783,0.136163,0.250000,0.250000,
36704864,0.114132,24.552163,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.110000,0.930000,-0.302472,-0.459913,0.108643,0.033658,0.095701,0.116017,0.250000,0.250000,
36714321,0.017574,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.850000,6.110000,0.930000,-0.285497,-0.508863,0.169603,0.033598,0.096428,0.155245,0.250000,0.250000,
36724018,0.296963,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.790000,6.150000,0.910000,-0.285878,-0.437022,0.148653,0.050506,0.112533,0.150419,0.250000,0.250000,
36735063,-0.353214,24.556801,1,0.708679,0.322327,-0.608154,-0.155090,7.810000,6.110000,0.910000,-0.274745,-0.479024,0.138073,0.027231,0.091460,0.141381,0.250000,0.250000,
36744578,0.296963,24.542887,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.130000,0.910000,-0.286678,-0.439667,0.120503,0.044522,0.107919,0.126097,0.250000,0.250000,
36754290,0.205547,24.547525,1,0.708679,0.322327,-0.608154,-0.155090,7.770000,6.150000,0.910000,-0.290122,-0.424785,0.133413,0.055383,0.118391,0.131453,0.250000,0.250000,
