Code compiled on Feb 26 2026 at 14:18:31
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.58
Air Density (kg/m^3),1.22
Rocket CD,0.5
Airbrake CD,0.75
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.1
Kalman Model V STD,0.2
Kalman Model A STD,0.5
Kalman Measurement Y STD,6
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 282.110182
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
304950032,0.042833,16.802327,1,-0.750732,-0.333191,-0.038879,-0.569092,5.110000,2.950000,2.770000,0.559007,3.621111,-4.404563,6.297839,-1.151630,-4.536831,0.000000,0.000000,
304959936,-0.050185,16.806970,2,-0.733826,-0.333435,-0.030701,-0.591125,0.840000,2.200000,101.450000,42.951565,-45.044220,70.353299,5.893157,-0.924391,50.286549,0.000000,0.000000,
304971161,-0.515150,16.802327,2,-0.715088,-0.333557,-0.022705,-0.613892,0.190000,-6.680000,-8.350000,2.121866,3.766556,-19.584082,5.475311,-1.576516,-0.862304,0.000000,0.000000,
304980452,-0.143172,16.802327,2,-0.695923,-0.333496,-0.013672,-0.635803,14.370000,0.280000,0.360000,2.659504,12.679241,-3.568020,5.105287,-2.020734,-2.843026,0.000000,0.000000,
304991231,0.135820,16.806970,2,-0.689026,-0.332703,-0.008057,-0.643799,7.310000,8.160000,4.500000,-3.973375,4.096886,0.580802,4.768980,-2.378127,-0.336611,0.000000,0.000000,
305000501,0.228319,16.802327,2,-0.685120,-0.331360,-0.005798,-0.648621,6.220000,2.280000,4.590000,0.973860,3.368580,-2.539937,4.458733,-2.737033,-1.949558,0.000000,0.000000,
305010201,-0.050185,16.797683,2,-0.687073,-0.330139,-0.004456,-0.647217,5.130000,0.340000,5.550000,2.935109,2.069337,-3.139965,4.145905,-3.099464,-2.820997,0.000000,0.000000,
305021167,0.321825,16.788397,2,-0.690247,-0.328552,-0.003601,-0.644653,8.710000,4.340000,11.240000,2.437118,2.522427,4.652497,3.869247,-3.333182,2.649980,0.000000,0.000000,
305030511,0.135820,16.797683,2,-0.690552,-0.326843,0.000488,-0.645203,7.410000,2.720000,11.070000,3.477732,1.472574,3.257169,3.600434,-3.580732,3.094473,0.000000,0.000000,
305040413,-0.143172,16.793040,2,-0.691345,-0.324890,0.005676,-0.645264,4.790000,2.660000,7.520000,1.511728,0.711076,-0.643074,3.326257,-3.865420,0.358398,0.000000,0.000000,
305051142,0.042833,16.802327,2,-0.692261,-0.321289,0.012512,-0.646057,5.090000,3.230000,6.570000,0.538233,1.346668,-1.000089,3.075038,-4.120670,-0.636084,0.000000,0.000000,
305060670,0.414842,16.793040,2,-0.692566,-0.318115,0.018494,-0.647156,5.190000,2.750000,6.840000,0.980458,1.308865,-0.929224,2.865640,-4.329411,-0.850678,0.000000,0.000000,
305070494,0.042833,16.802327,2,-0.693481,-0.313599,0.025635,-0.648193,4.420000,3.210000,8.020000,0.732483,0.031194,-0.121128,2.642612,-4.542399,-0.316610,0.000000,0.000000,
