Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),223.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 288.818774
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
135265610,-0.368701,-0.368701,34.167752,1,-0.887512,0.008911,-0.006653,-0.460632,0.101309,0.475405,15.463055,-0.274315,0.687811,5.650345,0.086354,-0.134828,3.670708,0.000000,0.000000,
135274283,-0.253405,-0.253405,34.172282,2,-0.887512,0.008911,-0.006653,-0.460632,4.461958,3.301401,100.587951,0.230881,7.747197,90.639514,0.028431,0.633038,60.710837,0.000000,0.000000,
135284436,-0.459185,-0.459185,34.172282,2,-0.887512,0.008911,-0.006653,-0.460632,3.255528,7.006464,100.737124,-3.492763,8.896373,90.776904,-0.050601,1.485210,80.430232,0.000000,0.000000,
135292774,0.364911,0.364911,34.172282,2,-0.887390,0.009094,-0.006104,-0.460815,1.034528,3.873368,98.579278,-2.333833,5.210699,88.692862,0.042885,2.277756,85.849435,0.000000,0.000000,
135301988,-0.755938,-0.755938,34.176811,2,-0.887390,0.009094,-0.006104,-0.460815,5.556529,0.871353,105.349443,2.714903,7.346550,95.405769,-0.080997,3.063162,92.117134,0.000000,0.000000,
135310321,-0.253405,-0.253405,34.172282,2,-0.888916,0.010620,-0.005127,-0.457947,3.032960,2.535580,108.659092,-0.404182,6.508270,98.732867,-0.084001,3.867660,96.456186,0.000000,0.000000,
135320260,-0.253405,-0.253405,34.172282,2,-0.891113,0.011902,-0.003967,-0.453674,7.317065,3.123980,108.294619,1.351892,10.437550,98.271635,-0.072279,4.824326,97.646882,0.000000,0.000000,
135328743,1.073255,1.073255,34.167752,2,-0.893616,0.012451,-0.003113,-0.448608,3.944612,-0.832438,109.399223,2.390921,5.427458,99.509472,0.186201,5.801237,98.868501,0.000000,0.000000,
135337806,-0.047137,-0.047137,34.172282,2,-0.897400,0.013977,-0.002869,-0.440979,5.244971,1.733104,108.965507,1.051026,8.216636,98.986444,0.199297,6.671829,98.945855,0.000000,0.000000,
135348391,0.249097,0.249097,34.167752,2,-0.902832,0.014282,-0.002686,-0.429810,6.570499,1.628449,109.831599,2.058155,9.204646,99.830440,0.284845,7.733696,99.526027,0.000000,0.000000,
135357551,0.042829,0.042829,34.167752,2,-0.908142,0.014343,-0.003052,-0.418396,1.111478,2.411999,108.996424,-1.815916,5.527163,99.069196,0.314576,8.612722,99.226405,0.000000,0.000000,
135367256,0.364911,0.364911,34.172282,2,-0.915649,0.014526,-0.003723,-0.401733,-1.506208,0.275451,110.276272,-1.757648,2.339998,100.443669,0.412351,9.593283,100.024771,0.000000,0.000000,
135377968,0.661176,0.661176,34.167752,2,-0.923706,0.014221,-0.004456,-0.382812,4.716232,2.021722,110.757527,1.607112,8.042635,100.767822,0.567499,10.701616,100.512116,0.000000,0.000000,
135387474,0.339063,0.339063,34.163223,2,-0.930176,0.013611,-0.003967,-0.366821,4.629671,0.517719,109.779747,2.750725,6.629046,99.839897,0.630920,11.623028,100.071227,0.000000,0.000000,
135397181,0.545362,0.545362,34.163223,2,-0.936829,0.013367,-0.003418,-0.349426,3.408220,1.388050,110.034327,1.341870,6.293809,100.103710,0.732437,12.584477,100.092531,0.000000,0.000000,
135408255,0.957441,0.957441,34.163223,2,-0.944214,0.013000,-0.003357,-0.329041,4.558479,8.766951,104.597240,-2.107874,12.485907,94.492520,0.919547,13.660506,96.419659,0.000000,0.000000,
135417562,0.866956,0.866956,34.167752,2,-0.950928,0.011963,-0.003662,-0.309143,7.272583,-7.407671,100.934235,10.194559,0.809410,91.146919,1.040517,14.499990,92.961433,0.000000,0.000000,
135428532,1.344221,1.344221,34.154164,2,-0.956238,0.011108,-0.003113,-0.292419,20.159928,3.306299,104.450178,14.804326,16.420660,94.304593,1.262302,15.570928,93.842371,0.000000,0.000000,
135437890,1.369550,1.369550,34.163223,2,-0.958618,0.011780,-0.002014,-0.284424,16.948823,-1.759459,107.280293,14.858521,10.310954,97.305588,1.432571,16.496253,96.113788,0.000000,0.000000,
135447638,1.047925,1.047925,34.158693,2,-0.957764,0.011169,-0.001404,-0.287292,12.181783,5.849690,106.778243,6.546591,13.950120,96.717442,1.525834,17.391839,96.509704,0.000000,0.000000,
135458522,1.485364,1.485364,34.167752,2,-0.956787,0.010803,-0.001099,-0.290527,-15.360209,9.536265,105.978485,-18.509731,1.637152,96.088985,1.713205,18.432887,96.233767,0.000000,0.000000,
135467948,2.077955,2.077955,34.158693,2,-0.956726,0.009705,-0.002930,-0.290833,-1.911850,2.483643,108.130478,-2.980471,3.181236,98.286068,1.959899,19.405499,97.579809,0.000000,0.000000,
135477515,1.665845,1.665845,34.158693,2,-0.956909,0.009583,-0.004700,-0.290161,4.190720,5.533542,108.983275,0.785159,9.219440,99.008913,2.094970,20.316657,98.517112,0.000000,0.000000,
135488618,2.103315,2.103315,34.167752,2,-0.954224,0.011230,-0.004395,-0.298889,4.071537,3.754062,110.753692,1.383405,8.060994,100.786750,2.328416,21.435559,100.005697,0.000000,0.000000,
135498075,2.283765,2.283765,34.158693,2,-0.949646,0.011230,-0.002747,-0.313171,2.936695,2.771429,109.027702,0.507027,6.479011,99.105778,2.527136,22.366885,99.415468,0.000000,0.000000,
135507736,2.696454,2.696454,34.158693,2,-0.944214,0.011047,-0.002136,-0.329163,6.368231,1.619031,109.368480,3.627319,7.660380,99.434823,2.779639,23.348376,99.428163,0.000000,0.000000,
135518450,2.902265,2.902265,34.158693,2,-0.938599,0.011353,-0.001709,-0.344849,3.425648,2.213449,108.913322,0.673046,6.342401,98.999893,3.058478,24.424207,99.147275,0.000000,0.000000,
135527907,3.405469,3.405469,34.154164,2,-0.932617,0.012085,-0.002136,-0.360596,5.131321,2.885739,109.214991,1.339677,8.208213,99.253551,3.359044,25.405906,99.216979,0.000000,0.000000,
135538683,3.817670,3.817670,34.154164,2,-0.927368,0.013245,-0.002625,-0.373840,4.017419,2.039038,107.829716,0.935213,7.109669,97.881504,3.724556,26.517324,98.341085,0.000000,0.000000,
135548004,4.023511,4.023511,34.154164,2,-0.922180,0.015137,-0.003845,-0.386475,4.757213,3.217836,108.069586,0.544232,8.977492,98.042612,4.032099,27.468209,98.145327,0.000000,0.000000,
135557733,4.345228,4.345228,34.158693,2,-0.916931,0.017456,-0.005554,-0.398621,4.606897,2.288469,107.587954,1.063820,8.842141,97.535173,4.362679,28.455445,97.745147,0.000000,0.000000,
135568516,4.048353,4.048353,34.163223,2,-0.911743,0.020325,-0.007690,-0.410217,4.039810,3.007165,106.008314,0.148686,9.609433,95.892510,4.616016,29.451885,96.530059,0.000000,0.000000,
135578161,4.667463,4.667463,34.163223,2,-0.906555,0.023682,-0.010315,-0.421265,5.001978,2.931537,105.435248,0.851827,11.138736,95.198267,4.914104,30.376084,95.656578,0.000000,0.000000,
135587917,5.169691,5.169691,34.158693,2,-0.901489,0.027466,-0.013306,-0.431702,4.337904,2.689303,104.643796,0.650588,11.432813,94.341850,5.262849,31.327720,94.794290,0.000000,0.000000,
135598668,6.084791,6.084791,34.154164,2,-0.896545,0.031860,-0.016785,-0.441528,5.034358,3.404250,103.563610,0.576267,13.498090,93.052656,5.759250,32.428826,93.652010,0.000000,0.000000,
135608106,5.672498,5.672498,34.154164,2,-0.891663,0.036621,-0.020569,-0.450684,4.937051,2.761032,103.516319,1.089109,14.264431,92.873925,6.053128,33.294396,93.141688,0.000000,0.000000,
135617878,6.084791,6.084791,34.154164,2,-0.886963,0.041870,-0.024719,-0.459229,5.105374,3.439577,102.486484,0.690082,16.055069,91.598831,6.388730,34.193365,92.129776,0.000000,0.000000,
