Code compiled on Dec 22 2025 at 15:34:53
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name (max 7 chars uppercase),FLIGHT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.637
Air Density (kg/m^3),1.18
Rocket CD,0.71
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),183
Launch Acceleration Threshold (m/s^2),20
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter lockout (s),120

Calibration point: 198.598961
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment,
353102312,-0.286202,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.070000,-0.015109,0.023972,-0.070691,-0.204820,-0.151018,-0.070579,0.000000,
353111564,-0.286202,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.060000,-0.011916,0.037952,-0.060974,-0.252628,-0.171055,-0.061080,0.000000,
353124164,0.082801,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.010000,-0.050000,-0.013322,0.002152,-0.050179,-0.063201,-0.089154,-0.050299,0.000000,
353132359,-0.470193,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.050000,-0.003485,0.043416,-0.051021,-0.296507,-0.214638,-0.051013,0.000000,
353141491,0.449775,16.579442,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.010000,-0.060000,-0.001438,0.020921,-0.060500,0.127437,-0.015029,-0.060396,0.000000,
353154080,-0.103753,16.579442,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.010000,-0.040000,-0.018648,0.010892,-0.040419,-0.004919,-0.078427,-0.040639,0.000000,
353162271,0.358039,16.574799,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.040000,-0.003572,0.043641,-0.041024,0.202039,0.044339,-0.041020,0.000000,
353171413,-0.101708,16.570155,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.030000,-0.015456,0.024871,-0.030702,0.028958,-0.045647,-0.030816,0.000000,
353183991,0.080757,16.579442,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.040000,-0.015369,0.024646,-0.040699,0.058019,-0.030683,-0.040590,0.000000,
353192183,-0.194985,16.574799,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.060000,-0.011916,0.037952,-0.060974,-0.087078,-0.124957,-0.060750,0.000000,
353201409,0.080757,16.579442,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.000000,-0.050000,-0.010043,0.015906,-0.050459,0.007703,-0.071397,-0.050573,0.000000,
353214053,0.633781,16.579442,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.040000,-0.006851,0.029886,-0.040743,0.365391,0.132353,-0.040851,0.000000,
353222224,0.263221,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.050000,-0.003485,0.043416,-0.051021,0.307922,0.090736,-0.050909,0.000000,
353231368,0.171470,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.000000,-0.020000,-0.050000,0.017471,0.009355,-0.050073,0.230697,0.042794,-0.050082,0.000000,
353243971,0.355979,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.050000,-0.015282,0.024422,-0.050696,0.303044,0.085961,-0.050690,0.000000,
353252155,-0.105797,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.000000,-0.060000,-0.004717,0.007167,-0.060220,0.069271,-0.090819,-0.060115,0.000000,
353261322,-0.289803,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,0.000000,-0.030000,-0.010217,0.016356,-0.030465,-0.137104,-0.224784,-0.030792,0.000000,
353273949,0.447212,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.050000,-0.006764,0.029661,-0.050740,0.195270,-0.006929,-0.050520,0.000000,
353282124,-0.103753,16.579442,1,-0.487854,0.009277,-0.007690,-0.872864,-0.010000,-0.010000,-0.070000,0.014365,-0.004849,-0.069786,0.023573,-0.145090,-0.069574,0.000000,
353291287,-0.014580,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.050000,-0.015282,0.024422,-0.050696,0.000387,-0.160665,-0.050904,0.000000,
353303895,0.171470,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.050000,-0.006764,0.029661,-0.050740,0.096582,-0.093422,-0.050742,0.000000,
353312068,0.171470,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,-0.010000,-0.050000,0.003714,0.012631,-0.050266,0.138835,-0.057386,-0.050271,0.000000,
353321244,0.263221,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.010000,-0.040000,-0.029126,0.027922,-0.040893,0.209602,-0.005720,-0.040996,0.000000,
353333826,0.355979,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.070000,-0.003312,0.042966,-0.071015,0.293627,0.054703,-0.070684,0.000000,
353342001,0.263221,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,-0.030000,-0.050000,0.020750,0.023110,-0.050354,0.276594,0.038729,-0.050578,0.000000,
353351240,-0.289803,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.040000,-0.003572,0.043641,-0.041024,-0.047911,-0.210720,-0.041129,0.000000,
353363828,-0.014580,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,0.000000,-0.040000,-0.025847,0.041677,-0.041173,-0.031401,-0.196527,-0.041173,0.000000,
353371992,0.447212,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.020000,-0.050000,0.001754,0.034901,-0.050784,0.242329,0.060176,-0.050678,0.000000,
353381131,0.261161,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.010000,-0.070000,-0.023627,0.018733,-0.070647,0.253683,0.068199,-0.070427,0.000000,
353393702,-0.291848,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.030000,-0.070000,0.015685,0.031176,-0.070585,-0.059325,-0.182798,-0.070583,0.000000,
353402064,0.171470,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,-0.020000,-0.070000,0.012405,0.017421,-0.070304,0.072022,-0.054400,-0.070307,0.000000,
353411197,0.261161,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.030000,-0.050000,0.005033,0.048655,-0.051065,0.180142,0.036814,-0.051277,0.000000,
353423786,0.171470,16.584086,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.050000,-0.006764,0.029661,-0.050740,0.175609,0.032020,-0.050746,0.000000,
353431972,0.169929,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,-0.010000,-0.050000,-0.017242,0.046692,-0.051214,0.172597,0.028294,-0.051209,0.000000,
353441113,-0.016625,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.050000,-0.010000,-0.050000,-0.017242,0.046692,-0.051214,0.064149,-0.066515,-0.051214,0.000000,
353450711,-0.291848,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.030000,-0.015456,0.024871,-0.030702,-0.141040,-0.243104,-0.030928,0.000000,
353463544,-0.291848,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.040000,-0.012090,0.038401,-0.040980,-0.231115,-0.320745,-0.040869,0.000000,
353471914,0.538963,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.000000,-0.080000,-0.004544,0.006717,-0.080214,0.210458,0.156962,-0.079780,0.000000,
353481040,-0.476342,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.010000,-0.050000,-0.001525,0.021146,-0.050503,-0.183093,-0.209060,-0.050826,0.000000,
353493682,0.076652,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.020000,-0.040000,0.006906,0.026610,-0.040550,-0.035961,-0.074124,-0.040663,0.000000,
353501854,-0.199074,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.020000,-0.030000,0.001580,0.035350,-0.030790,-0.130665,-0.177413,-0.030899,0.000000,
353510995,-0.107339,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.000000,-0.040000,-0.020608,0.033162,-0.040936,-0.118873,-0.165230,-0.040826,0.000000,
353523591,0.168403,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.060000,-0.010000,-0.060000,-0.022394,0.054982,-0.061448,0.044746,-0.012851,-0.061221,0.000000,
353531765,-0.293893,16.607303,1,-0.487854,0.009277,-0.007690,-0.872864,0.010000,0.010000,-0.060000,-0.013236,0.001927,-0.060176,-0.150793,-0.232357,-0.060187,0.000000,
353541064,0.722968,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.010000,-0.050000,-0.012003,0.038176,-0.050977,0.349846,0.249654,-0.051079,0.000000,
353553653,-0.289803,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.030000,-0.060000,0.015598,0.031400,-0.060588,-0.016237,-0.104477,-0.060483,0.000000,
353561863,0.168403,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.020000,-0.060000,0.007080,0.026161,-0.060544,0.089526,0.017908,-0.060543,0.000000,
353571004,0.169929,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.050000,-0.006764,0.029661,-0.050740,0.135970,0.063136,-0.050848,0.000000,
353583582,-0.383584,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.050000,-0.015282,0.024422,-0.050696,-0.163213,-0.229275,-0.050698,0.000000,
353591776,0.722968,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.050000,-0.015282,0.024422,-0.050696,0.346820,0.372226,-0.050696,0.000000,
353600916,-0.014580,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,0.000000,-0.040000,-0.020608,0.033162,-0.040936,0.142120,0.162196,-0.041044,0.000000,
353613493,-0.201134,16.602660,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.010000,-0.060000,-0.001438,0.020921,-0.060500,-0.054109,-0.035510,-0.060286,0.000000,
353621858,-0.014580,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.040000,-0.020000,-0.050000,-0.003485,0.043416,-0.051021,-0.031559,-0.008505,-0.051123,0.000000,
353630997,0.261161,16.598016,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.020000,-0.070000,0.001927,0.034451,-0.070778,0.137015,0.166055,-0.070562,0.000000,
353643578,0.631736,16.588729,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,-0.010000,-0.050000,-0.006764,0.029661,-0.050740,0.425002,0.456408,-0.050959,0.000000,
353651782,-0.014580,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.020000,-0.010000,-0.070000,-0.001352,0.020696,-0.070497,0.174588,0.144153,-0.070282,0.000000,
353660923,0.538963,16.593373,1,-0.487854,0.009277,-0.007690,-0.872864,0.030000,0.000000,-0.030000,-0.015456,0.024871,-0.030702,0.385869,0.364295,-0.031138,0.000000,
