Code compiled on Feb 14 2026 at 22:01:21
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,FLT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.23
Rocket CD,0.65
Airbrake CD,0.65
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.6
Kalman Measurement A STD,0.013
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 239.272635
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
132411802,-0.101172,18.710465,1,-0.336548,0.003540,-0.006104,-0.941650,-0.090000,0.090000,0.540000,0.011184,-0.119155,0.541736,0.000000,0.000000,0.000000,0.000000,0.000000,
132424472,0.363459,18.705823,1,-0.336304,0.003540,-0.006104,-0.941711,-0.090000,0.110000,0.540000,-0.001428,-0.134612,0.541918,0.044367,0.006790,0.535881,0.000000,0.000000,
132433046,-0.285894,18.719749,1,-0.336182,0.003540,-0.006104,-0.941772,-0.050000,0.110000,0.560000,-0.032397,-0.109016,0.561486,-0.023895,0.010683,0.561203,0.000000,0.000000,
132441263,0.457621,18.719749,1,-0.336182,0.003540,-0.006104,-0.941772,-0.050000,0.090000,0.580000,-0.019783,-0.093261,0.581301,0.099981,0.018162,0.581080,0.000000,0.000000,
132452575,-0.100149,18.729033,1,-0.335938,0.003540,-0.006104,-0.941833,-0.010000,0.090000,0.540000,-0.050600,-0.068506,0.540875,0.043427,0.022496,0.541318,0.000000,0.000000,
132459951,-0.006506,18.733675,1,-0.335938,0.003540,-0.006104,-0.941833,-0.070000,0.090000,0.580000,-0.004252,-0.105916,0.581517,0.028762,0.026033,0.581074,0.000000,0.000000,
132468489,0.273416,18.747601,1,-0.335876,0.003540,-0.006104,-0.941895,-0.090000,0.090000,0.580000,0.011258,-0.118585,0.581732,0.103373,0.035316,0.581725,0.000000,0.000000,
132480376,-0.098089,18.756885,1,-0.335876,0.003540,-0.006104,-0.941895,-0.110000,0.090000,0.540000,0.026849,-0.131794,0.541952,0.041917,0.037311,0.542390,0.000000,0.000000,
132489320,0.088694,18.756885,1,-0.335938,0.003540,-0.006104,-0.941833,-0.090000,0.090000,0.520000,0.011385,-0.119404,0.521738,0.056729,0.043438,0.521966,0.000000,0.000000,
132498161,0.553842,18.770811,1,-0.336060,0.003540,-0.006104,-0.941833,-0.070000,0.110000,0.520000,-0.016779,-0.122247,0.521705,0.211191,0.065579,0.521708,0.000000,0.000000,
132510277,0.089716,18.775453,1,-0.336121,0.003540,-0.006104,-0.941772,-0.050000,0.070000,0.520000,-0.006956,-0.078610,0.521125,0.174307,0.067089,0.521131,0.000000,0.000000,
132519068,-0.374395,18.780095,1,-0.336243,0.003540,-0.006104,-0.941711,-0.070000,0.070000,0.560000,0.008392,-0.090713,0.561336,0.004319,0.044360,0.560893,0.000000,0.000000,
132527645,0.090235,18.784737,1,-0.336426,0.003540,-0.006104,-0.941711,0.010000,0.030000,0.500000,-0.028028,-0.009935,0.500116,0.031440,0.053221,0.500786,0.000000,0.000000,
132540115,0.091257,18.794021,1,-0.336548,0.003540,-0.006104,-0.941650,-0.030000,0.070000,0.520000,-0.022496,-0.065938,0.520909,0.050768,0.063084,0.520688,0.000000,0.000000,
132548840,-0.187613,18.798663,1,-0.336731,0.003540,-0.006104,-0.941589,-0.050000,0.050000,0.560000,0.005523,-0.062593,0.560939,-0.022954,0.051378,0.560495,0.000000,0.000000,
132557749,0.184397,18.798663,1,-0.336975,0.003540,-0.006104,-0.941467,-0.070000,0.050000,0.540000,0.020990,-0.075555,0.541156,0.042150,0.070963,0.541369,0.000000,0.000000,
132570389,0.370142,18.798663,1,-0.337158,0.003540,-0.006104,-0.941406,-0.090000,0.030000,0.540000,0.049109,-0.072810,0.541190,0.145426,0.102212,0.541192,0.000000,0.000000,
132579193,-0.186590,18.807946,1,-0.337463,0.003540,-0.006104,-0.941284,-0.090000,0.070000,0.560000,0.023591,-0.103444,0.561552,0.042646,0.077427,0.561327,0.000000,0.000000,
132587913,-0.372336,18.807946,1,-0.337769,0.003540,-0.006104,-0.941223,-0.160000,0.070000,0.540000,0.077617,-0.148258,0.542309,-0.086240,0.044827,0.542519,0.000000,0.000000,
132600365,-0.092947,18.812588,1,-0.338013,0.003540,-0.006104,-0.941101,-0.110000,0.050000,0.520000,0.051724,-0.101328,0.521590,-0.087738,0.050708,0.521820,0.000000,0.000000,
132609145,-0.092947,18.812588,1,-0.338318,0.003540,-0.006104,-0.940979,-0.070000,0.010000,0.540000,0.046232,-0.044779,0.540793,-0.088902,0.054897,0.540584,0.000000,0.000000,
132618081,-0.278692,18.821872,1,-0.338562,0.003540,-0.006104,-0.940918,-0.070000,-0.010000,0.580000,0.058856,-0.028836,0.580607,-0.147755,0.039775,0.580166,0.000000,0.000000,
