Code compiled on Mar 13 2026 at 16:53:56
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.583
Air Density (kg/m^3),1.237
Rocket CD,0.55
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.2
Kalman Model V STD,0.5
Kalman Model A STD,0.5
Kalman Measurement Y STD,5
Kalman Measurement A STD,0.5
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 244.632385
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
350966917,-2.580689,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.133271,-8.997865,-0.231940,-0.092512,0.109507,0.101282,-3.232187,0.091295,0.041950,0.000000,0.000000,
350976371,-3.359360,14.447170,5,0.396790,-0.623413,-0.358337,0.570557,-4.099029,-9.129751,-0.511474,0.189780,0.172814,0.215368,-3.244056,0.076242,0.168900,0.000000,0.000000,
350986023,-3.170487,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.046660,-8.620455,-0.054521,-0.263463,0.040980,-0.282792,-3.235983,0.083356,-0.161761,0.000000,0.000000,
350997127,-3.564179,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.105075,-9.039450,-0.401623,0.079297,0.138122,0.132605,-3.267927,0.040925,0.053730,0.000000,0.000000,
351006602,-3.658875,14.442626,5,0.396790,-0.623413,-0.358337,0.570557,-4.051563,-9.058504,-0.285912,-0.030879,0.204352,0.123026,-3.306730,-0.010614,0.104458,0.000000,0.000000,
351017596,-3.564179,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.118741,-8.621250,-0.189284,-0.135908,-0.035087,-0.246698,-3.332698,-0.047722,-0.152606,0.000000,0.000000,
351027068,-3.564179,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.029774,-9.078906,-0.326683,0.011848,0.229193,0.133548,-3.356362,-0.077678,0.056873,0.000000,0.000000,
351036662,-2.879715,14.433539,5,0.396790,-0.623413,-0.358337,0.570557,-4.069239,-8.959924,-0.343296,0.024042,0.141299,0.043451,-3.309348,-0.013208,0.047048,0.000000,0.000000,
351047439,-2.485977,14.433539,5,0.396790,-0.623413,-0.358337,0.570557,-4.080302,-8.621381,-0.171402,-0.150171,0.001082,-0.263604,-3.226988,0.094187,-0.180365,0.000000,0.000000,
351056888,-3.461258,14.442626,5,0.396790,-0.623413,-0.358337,0.570557,-4.105882,-9.167783,-0.363396,0.041928,0.195649,0.247612,-3.249556,0.065075,0.132936,0.000000,0.000000,
351066615,-3.068588,14.442626,5,0.396790,-0.623413,-0.358337,0.570557,-4.066703,-8.920941,-0.402273,0.082768,0.121820,0.009153,-3.230809,0.089396,0.042320,0.000000,0.000000,
351077678,-3.367600,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.025849,-8.749382,-0.056854,-0.258449,0.114728,-0.175097,-3.243546,0.069274,-0.116840,0.000000,0.000000,
351087138,-3.367600,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.121915,-9.148649,-0.441426,0.118035,0.166334,0.239828,-3.255306,0.054927,0.144259,0.000000,0.000000,
351096837,-3.760773,14.438082,5,0.396790,-0.623413,-0.358337,0.570557,-4.019750,-8.790267,-0.176077,-0.138925,0.127495,-0.136690,-3.305405,-0.014158,-0.061410,0.000000,0.000000,
