Code compiled on Mar 18 2026 at 15:50:09
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.594
Air Density (kg/m^3),1.19
Rocket CD,0.525
Airbrake CD,0.725
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.75
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 247.757262
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
182588427,0.233445,25.555797,1,0.606445,-0.007568,0.006104,-0.795105,-0.320637,-3.597798,48.559592,-2.446936,1.231426,38.815140,0.217812,0.545347,25.499924,0.000000,0.000000,
182598281,-0.388106,25.546726,2,0.606445,-0.007568,0.006104,-0.795105,-1.071476,-8.394963,93.774193,-5.995305,3.200633,84.108311,0.116367,1.296078,63.939336,0.000000,0.000000,
182610285,0.014589,25.546726,2,0.606445,-0.007568,0.006104,-0.795105,-0.270104,-9.080971,100.375313,-6.740426,2.605710,90.724851,0.120474,2.352027,81.507121,0.000000,0.000000,
182619111,-0.094588,25.542190,2,0.606628,-0.007751,0.006165,-0.794922,-0.437609,-8.280125,103.191309,-5.835906,2.561475,93.526239,0.105210,3.161130,89.390085,0.000000,0.000000,
182629792,-0.001891,25.537655,2,0.606750,-0.007935,0.006165,-0.794800,0.428131,-6.372605,102.360521,-4.202229,1.248832,92.663887,0.124328,4.136897,91.537269,0.000000,0.000000,
182638974,0.510499,25.542190,2,0.608032,-0.007751,0.006287,-0.793884,0.269428,-8.460747,104.325836,-6.157654,1.881544,94.668594,0.238824,5.054449,93.591009,0.000000,0.000000,
182648718,0.216966,25.546726,2,0.609253,-0.007446,0.006531,-0.792908,-0.428400,-9.352481,105.845995,-6.835057,2.679171,96.203412,0.288652,5.989054,95.304403,0.000000,0.000000,
182659600,0.417802,25.546726,2,0.610840,-0.007141,0.006653,-0.791687,-10.172174,-6.675055,105.114995,-1.841377,11.343288,95.389482,0.383694,7.042629,95.360204,0.000000,0.000000,
182668956,-0.295424,25.542190,2,0.613159,-0.006775,0.006958,-0.789856,3.592604,-6.580597,106.909575,-5.216635,-2.135101,97.222540,0.326528,7.869189,96.581649,0.000000,0.000000,
182678650,0.804567,25.537655,2,0.615417,-0.006470,0.007202,-0.788147,0.114320,-15.742747,108.709145,-13.235444,3.336490,99.191351,0.497218,8.889087,98.293273,0.000000,0.000000,
182689713,0.308625,25.542190,2,0.617432,-0.006531,0.007385,-0.786560,-1.204902,-10.237691,108.664340,-7.552480,3.214562,99.041484,0.566260,9.961488,98.784001,0.000000,0.000000,
182699169,0.711870,25.542190,2,0.620239,-0.006653,0.007507,-0.784302,-0.566718,-5.342105,105.927059,-2.980809,1.409238,96.210257,0.691971,10.888384,97.095963,0.000000,0.000000,
182708919,1.097596,25.533119,2,0.621948,-0.006531,0.007385,-0.783020,-1.886324,-6.226945,107.397271,-3.555398,2.877581,97.695188,0.878913,11.890851,97.488978,0.000000,0.000000,
182719648,0.913743,25.542190,2,0.622498,-0.006348,0.007080,-0.782532,-1.625284,-7.681386,107.720763,-5.103975,2.968385,98.043627,1.018694,12.946848,97.852755,0.000000,0.000000,
182729142,1.114595,25.542190,2,0.622742,-0.006470,0.006653,-0.782349,0.210320,-10.693621,108.188958,-8.477251,1.930796,98.566541,1.164092,13.894788,98.320906,0.000000,0.000000,
182739951,1.005418,25.537655,2,0.622986,-0.006592,0.006348,-0.782166,-2.509421,-7.624530,108.034406,-4.908633,3.963867,98.347123,1.290231,14.938290,98.338100,0.000000,0.000000,
182749387,1.811433,25.537655,2,0.622864,-0.006470,0.006287,-0.782288,0.608637,-8.270956,107.813981,-6.266010,1.067075,98.144347,1.533431,15.929409,98.211026,0.000000,0.000000,
182758991,1.811433,25.537655,2,0.623047,-0.006653,0.006287,-0.782104,1.020779,-8.696179,106.673291,-6.765337,0.780343,97.014158,1.743013,16.895329,97.426039,0.000000,0.000000,
182770070,2.324434,25.542190,2,0.623657,-0.006958,0.006409,-0.781677,-1.162238,-8.724251,108.498348,-6.204676,2.918487,98.837034,2.045486,18.060754,98.351469,0.000000,0.000000,
182779346,1.811433,25.537655,2,0.624756,-0.007019,0.006470,-0.780762,0.267935,-11.775848,107.727717,-9.500907,2.170329,98.129432,2.173275,18.941685,98.205841,0.000000,0.000000,
182789210,2.710237,25.533119,2,0.626953,-0.007080,0.006592,-0.778992,0.688029,-9.627629,106.775646,-7.498929,1.231904,97.140244,2.465568,19.965859,97.506951,0.000000,0.000000,
182799989,2.525316,25.542190,2,0.630615,-0.007080,0.006836,-0.776062,0.167883,-6.986512,108.087369,-4.754484,1.080926,98.401482,2.697752,21.033542,98.093646,0.000000,0.000000,
182809455,2.911638,25.533119,2,0.632996,-0.007141,0.007202,-0.774109,-0.183364,-11.893593,107.370966,-9.461711,2.307884,97.786826,2.941383,21.985655,97.892413,0.000000,0.000000,
182819147,3.020845,25.537655,2,0.635376,-0.007263,0.007080,-0.772156,-0.447994,-9.116413,107.124156,-6.700455,2.012220,97.483080,3.173940,22.940192,97.623945,0.000000,0.000000,
182830123,3.331971,25.542190,2,0.637390,-0.007324,0.007080,-0.770447,-0.014005,-7.786327,107.144320,-5.476381,1.302960,97.477838,3.461265,24.029431,97.528119,0.000000,0.000000,
182839577,4.120668,25.533119,2,0.639648,-0.007263,0.007080,-0.768616,-0.511780,-8.467428,107.788670,-6.060052,1.870514,98.134388,3.816673,25.039260,97.925755,0.000000,0.000000,
182849493,3.515870,25.533119,2,0.642456,-0.007080,0.007080,-0.766296,0.104810,-8.209486,106.745213,-5.978038,1.136201,97.085915,4.013246,25.965151,97.374929,0.000000,0.000000,
182860253,5.312822,25.524047,2,0.644958,-0.006775,0.007385,-0.764160,0.083120,-8.001073,105.764889,-5.804743,0.985595,96.102105,4.542142,27.158388,96.540129,0.000000,0.000000,
182869735,4.431825,25.537655,2,0.647461,-0.006348,0.007996,-0.762024,-0.331712,-8.291085,105.225324,-6.028287,1.256752,95.570965,4.783195,28.050612,95.904484,0.000000,0.000000,
182879528,5.440080,25.537655,2,0.650024,-0.005798,0.008789,-0.759827,-0.059312,-8.293828,105.221345,-6.057161,0.736098,95.569405,5.185729,29.066823,95.684719,0.000000,0.000000,
182890573,6.136689,25.533119,2,0.652588,-0.005127,0.009766,-0.757629,0.158413,-7.767276,104.024069,-5.568619,0.158922,94.362555,5.691017,30.225322,94.817557,0.000000,0.000000,
182899966,6.043947,25.537655,2,0.655212,-0.004395,0.010986,-0.755371,-0.128770,-8.210048,104.861574,-5.910128,0.157509,95.214262,6.045417,31.163585,95.077745,0.000000,0.000000,
182909715,7.145112,25.533119,2,0.657776,-0.003540,0.012329,-0.753113,0.217573,-7.946294,103.664534,-5.674047,-0.582350,94.009650,6.560009,32.214347,94.377219,0.000000,0.000000,
182920760,7.364122,25.542190,2,0.660339,-0.002502,0.013855,-0.750793,0.222526,-7.790440,103.769436,-5.469848,-1.040756,94.109189,7.072509,33.351512,94.201430,0.000000,0.000000,
182930098,7.456376,25.537655,2,0.662964,-0.001404,0.015564,-0.748474,0.055544,-8.104802,103.041307,-5.713211,-1.285427,93.389278,7.460054,34.270709,93.668766,0.000000,0.000000,
182939810,8.758180,25.533119,2,0.665649,-0.000244,0.017334,-0.746094,0.229577,-7.831812,102.259005,-5.414630,-1.948900,92.591793,8.040764,35.327926,92.962419,0.000000,0.000000,
182950620,9.657594,25.528583,2,0.668335,0.001038,0.019226,-0.743652,0.416984,-7.532229,101.729853,-5.080430,-2.658298,92.051107,8.731443,36.518852,92.364724,0.000000,0.000000,
182960126,10.279725,25.537655,2,0.671021,0.002380,0.021301,-0.741150,0.255900,-7.838876,101.846341,-5.278675,-3.017138,92.168391,9.373361,37.584954,92.235962,0.000000,0.000000,
182969967,10.279725,25.537655,2,0.673767,0.003662,0.023376,-0.738586,0.445172,-7.486576,100.909755,-4.860532,-3.742125,91.200998,9.917643,38.592371,91.557165,0.000000,0.000000,
182980733,10.682832,25.537655,2,0.676575,0.005005,0.025574,-0.735901,0.516893,-7.380962,100.732749,-4.653978,-4.372897,90.998903,10.481984,39.664679,91.191022,0.000000,0.000000,
182990210,12.296449,25.537655,2,0.679443,0.006348,0.027771,-0.733215,0.521735,-7.513255,99.859021,-4.694306,-4.880383,90.107862,11.202430,40.740488,90.480619,0.000000,0.000000,
183000895,12.498567,25.537655,2,0.682251,0.007629,0.029968,-0.730469,0.670366,-7.032346,98.342234,-4.140499,-5.523689,88.555426,11.885981,41.844035,89.217950,0.000000,0.000000,
183010352,13.599397,25.533119,2,0.685059,0.008972,0.032104,-0.727722,0.730787,-7.234250,98.023904,-4.237127,-6.074816,88.212464,12.607173,42.887591,88.558491,0.000000,0.000000,
183020114,14.608033,25.533119,2,0.687927,0.010193,0.034119,-0.724915,0.749554,-6.999052,96.794983,-3.919405,-6.528658,86.947034,13.405209,43.977997,87.501595,0.000000,0.000000,
183031195,15.029329,25.542190,2,0.690857,0.011414,0.036072,-0.721985,0.830021,-7.089432,97.105984,-3.881907,-7.113214,87.232545,14.202665,45.139868,87.325140,0.000000,0.000000,
183040669,16.626100,25.533119,2,0.693848,0.012573,0.037842,-0.719055,0.973195,-6.996182,96.771630,-3.693971,-7.682416,86.852895,15.089106,46.259506,87.015420,0.000000,0.000000,
183050359,17.029451,25.533119,2,0.696838,0.013611,0.039429,-0.716064,1.082762,-6.546245,95.434959,-3.194307,-8.099364,85.464633,15.905281,47.322164,85.998316,0.000000,0.000000,
183062138,17.635011,25.533119,2,0.699829,0.014648,0.040710,-0.712952,1.089132,-6.901615,95.031945,-3.495269,-8.459804,85.051991,16.793311,48.532304,85.377657,0.000000,0.000000,
183071020,18.644044,25.533119,2,0.702881,0.015564,0.041809,-0.709900,1.421522,-6.600138,93.271689,-3.197839,-8.936161,83.234313,17.575104,49.499383,83.971914,0.000000,0.000000,
183080636,19.763063,25.537655,2,0.705994,0.016418,0.042603,-0.706787,1.257803,-6.456602,92.397257,-3.045340,-8.955265,82.346170,18.465213,50.555255,82.905648,0.000000,0.000000,
183092357,20.259431,25.533119,2,0.709045,0.017212,0.043152,-0.703674,1.195014,-6.651659,92.473446,-3.237504,-9.137055,82.410972,19.400220,51.736229,82.581212,0.000000,0.000000,
183101277,21.892061,25.542190,2,0.712097,0.017883,0.043396,-0.700500,1.477308,-6.514476,91.700779,-3.123716,-9.497904,81.595732,20.332773,52.770963,81.934879,0.000000,0.000000,
183110732,21.984437,25.537655,2,0.715210,0.018494,0.043335,-0.697327,1.325631,-6.535493,90.928329,-3.210022,-9.395617,80.826984,21.145010,53.733825,81.208252,0.000000,0.000000,
183121696,23.177644,25.528583,2,0.718323,0.018921,0.042908,-0.694092,1.232959,-6.621579,89.826178,-3.402756,-9.254762,79.734422,22.120144,54.850554,80.241620,0.000000,0.000000,
183131108,23.691682,25.533119,2,0.721558,0.019287,0.042114,-0.690796,1.311770,-6.518203,89.197085,-3.416995,-9.263975,79.096249,22.934676,55.785011,79.490414,0.000000,0.000000,
183140858,24.903657,25.533119,2,0.724792,0.019470,0.041138,-0.687500,1.207517,-6.396572,89.001804,-3.406481,-9.086415,78.910238,23.851465,56.789709,79.109903,0.000000,0.000000,
183151749,25.013612,25.537655,2,0.728088,0.019592,0.039856,-0.684082,1.142309,-6.450729,87.837592,-3.627910,-8.839176,77.763479,24.692499,57.775369,78.226830,0.000000,0.000000,
183161233,26.115754,25.533119,2,0.731384,0.019531,0.038330,-0.680603,0.933540,-6.608634,87.726179,-3.938462,-8.492094,77.674097,25.510912,58.683964,77.864316,0.000000,0.000000,
183170836,26.721345,25.533119,2,0.734741,0.019348,0.036499,-0.677124,0.822903,-6.359634,85.986966,-3.918070,-8.033626,75.958195,26.304799,59.557841,76.614156,0.000000,0.000000,
183181900,27.033723,25.537655,2,0.738098,0.019104,0.034546,-0.673584,0.732719,-6.428808,85.266724,-4.180922,-7.688914,75.262235,27.105013,60.477579,75.727476,0.000000,0.000000,
183191215,27.933687,25.533119,2,0.741516,0.018677,0.032410,-0.669861,0.670144,-6.604360,85.223329,-4.542406,-7.393041,75.242784,27.827054,61.278479,75.409585,0.000000,0.000000,
183201083,29.641908,25.528583,2,0.744995,0.018127,0.030212,-0.666138,0.603418,-6.309260,84.177505,-4.456561,-6.958923,74.206669,28.775551,62.226867,74.620637,0.000000,0.000000,
183211801,30.173829,25.542190,2,0.748535,0.017517,0.028015,-0.662231,0.727868,-6.535135,83.614440,-4.837755,-6.807675,73.654796,29.708930,63.182620,73.987177,0.000000,0.000000,
183221304,31.588533,25.542190,2,0.752197,0.016968,0.025818,-0.658264,0.628221,-6.443276,82.006097,-4.954345,-6.348993,72.067550,30.665059,64.093044,72.728162,0.000000,0.000000,
183231034,32.489412,25.537655,2,0.755920,0.016296,0.023804,-0.653992,0.453433,-6.426593,81.270184,-5.105647,-5.905011,71.344507,31.633986,65.004160,71.820673,0.000000,0.000000,
183241994,32.581361,25.533119,2,0.759766,0.015747,0.021912,-0.649597,0.371437,-6.431304,80.937634,-5.261595,-5.601306,71.025124,32.528335,65.894997,71.298901,0.000000,0.000000,
183251353,33.591829,25.533119,2,0.763733,0.015137,0.020142,-0.645020,0.426459,-6.024110,79.585706,-4.981643,-5.334982,69.678189,33.347496,66.674569,70.235931,0.000000,0.000000,
183261221,35.521119,25.537655,2,0.767761,0.014587,0.018616,-0.640320,0.281809,-6.170199,79.029984,-5.241484,-5.036670,69.136340,34.416218,67.614839,69.514753,0.000000,0.000000,
183272000,35.319612,25.537655,2,0.771851,0.013977,0.017273,-0.635376,0.172215,-5.998572,77.641235,-5.166782,-4.696624,67.759722,35.318319,68.452736,68.363686,0.000000,0.000000,
183281591,36.017701,25.533119,2,0.776062,0.013428,0.016235,-0.630310,0.291347,-5.603921,76.613739,-4.788402,-4.595327,66.732768,36.109022,69.176282,67.294021,0.000000,0.000000,
183292381,37.543275,25.537655,2,0.780334,0.012939,0.015503,-0.625061,0.457896,-5.794160,76.282969,-4.936454,-4.722885,66.399796,37.128313,70.063498,66.707533,0.000000,0.000000,
183301762,38.738771,25.528583,2,0.784668,0.012451,0.015076,-0.619568,0.335851,-5.664618,75.300932,-4.804783,-4.513618,65.427993,38.090496,70.870828,65.868330,0.000000,0.000000,
183311582,40.062623,25.533119,2,0.789062,0.012146,0.015015,-0.614014,0.478734,-4.920362,74.008048,-3.997400,-4.445940,64.133787,39.159172,71.734753,64.730705,0.000000,0.000000,
183324257,40.264741,25.533119,2,0.793579,0.011902,0.015137,-0.608215,0.571374,-4.894649,72.893725,-3.877247,-4.543950,63.017964,40.280982,72.665898,63.607376,0.000000,0.000000,
183333107,41.992585,25.537655,2,0.798096,0.011841,0.015625,-0.602173,0.441819,-4.777519,71.834201,-3.705789,-4.441211,61.963898,41.247993,73.424936,62.529480,0.000000,0.000000,
183342082,42.784730,25.528583,2,0.802673,0.011780,0.016296,-0.596008,0.533681,-4.489614,71.897276,-3.277708,-4.563094,62.022229,42.197655,74.166364,62.196796,0.000000,0.000000,
183356652,43.813813,25.537655,2,0.807312,0.011963,0.017090,-0.589783,0.677555,-4.306213,69.756578,-2.960602,-4.721061,59.872243,43.588271,75.233090,60.672200,0.000000,0.000000,
183364947,44.825380,25.537655,2,0.811890,0.012390,0.017883,-0.583435,0.941004,-4.426275,69.064599,-2.891063,-5.148697,59.161732,44.447089,75.879381,59.681539,0.000000,0.000000,
183373644,46.131379,25.533119,2,0.816406,0.013000,0.018738,-0.577026,0.910225,-4.378239,68.274702,-2.755170,-5.267122,58.362667,45.425275,76.591879,58.816539,0.000000,0.000000,
183383539,46.757295,25.542190,2,0.820862,0.013794,0.019592,-0.570618,1.085555,-4.236424,66.844715,-2.494992,-5.522383,56.912505,46.435576,77.313142,57.567747,0.000000,0.000000,
183392605,47.346498,25.533119,2,0.825256,0.014893,0.020386,-0.564148,1.185965,-4.433467,66.427066,-2.578404,-5.867523,56.473299,47.309420,77.932356,56.849936,0.000000,0.000000,
183402194,48.358430,25.533119,2,0.829651,0.016235,0.021057,-0.557678,1.119430,-4.258782,66.020363,-2.406885,-5.970239,56.049075,48.255627,78.591423,56.324680,0.000000,0.000000,
183412986,49.977388,25.533119,2,0.833984,0.017639,0.021606,-0.551086,1.384558,-4.114512,65.060608,-2.160021,-6.342369,55.054481,49.429388,79.384645,55.491603,0.000000,0.000000,
