,,,,,,,,,,,,
time stamp,raw pressure,raw temperature,raw ax,raw ay,raw aZ,calcualted alt,y estimate,v estimate,a estimate,apogee estimate,servo deployment,flight mode
83413,98.58,31.77,0.93,0.38,0.09,0.01,0.01,0.00,0.00,0.01,servo deployment,0
83504,98.58,31.74,0.94,0.36,0.10,-0.02,-0.02,-0.00,-0.00,-0.02,servo deployment,0
83596,98.58,31.73,0.94,0.37,0.09,0.09,0.04,0.32,0.01,0.04,servo deployment,0
83688,98.58,31.72,0.94,0.39,0.10,-0.07,-0.02,0.01,0.00,-0.02,servo deployment,0
83780,98.58,31.71,0.94,0.38,0.10,0.26,0.20,0.68,0.01,0.23,servo deployment,0
83886,98.58,31.71,0.94,0.38,0.09,-0.31,-0.12,-0.36,-0.00,-0.11,servo deployment,0
83979,98.58,31.71,0.94,0.39,0.09,0.31,0.16,0.46,0.01,0.17,servo deployment,0
84070,98.58,31.71,0.94,0.40,0.10,0.18,0.21,0.49,0.01,0.23,servo deployment,0
84163,98.58,31.71,0.95,0.38,0.08,-0.37,-0.15,-0.62,-0.01,-0.13,servo deployment,0
84254,98.57,31.70,0.94,0.39,0.10,0.33,0.13,0.32,0.01,0.14,servo deployment,0
84347,98.58,31.71,0.93,0.40,0.09,-0.02,0.06,0.03,0.00,0.06,servo deployment,0
84454,98.58,31.71,0.93,0.38,0.09,-0.15,-0.10,-0.40,-0.01,-0.09,servo deployment,0
84546,98.58,31.71,0.94,0.38,0.10,-0.23,-0.23,-0.67,-0.02,-0.21,servo deployment,0
84638,98.58,31.71,0.95,0.41,0.10,0.09,-0.06,-0.04,0.00,-0.06,servo deployment,0
84730,98.58,31.71,0.95,0.43,0.12,0.04,0.01,0.17,0.01,0.01,servo deployment,0
84822,98.58,31.71,0.99,0.48,0.21,-0.36,-0.24,-0.57,-0.02,-0.22,servo deployment,0
84914,98.58,31.72,0.97,0.37,0.14,0.18,0.00,0.26,0.02,0.01,servo deployment,0
85006,98.58,31.72,0.94,0.30,0.03,0.03,0.05,0.32,0.02,0.05,servo deployment,0
85113,98.57,31.72,0.94,0.33,0.07,0.45,0.38,1.14,0.06,0.45,servo deployment,0
85206,98.58,31.72,0.92,0.26,0.09,0.25,0.39,0.88,0.05,0.43,servo deployment,0
85297,98.58,31.73,0.95,0.24,0.13,0.29,0.40,0.68,0.04,0.42,servo deployment,0
85390,98.58,31.73,0.99,0.30,0.14,0.11,0.26,0.12,0.00,0.26,servo deployment,0
85481,98.57,31.73,0.97,0.31,0.12,0.59,0.51,0.79,0.04,0.54,servo deployment,0
85574,98.57,31.73,0.96,0.31,0.11,0.43,0.52,0.63,0.03,0.54,servo deployment,0
85681,98.58,31.73,0.96,0.31,0.11,0.20,0.35,-0.03,-0.01,0.35,servo deployment,0
85773,98.58,31.73,0.97,0.30,0.11,0.25,0.27,-0.24,-0.03,0.27,servo deployment,0
85865,98.57,31.73,0.96,0.31,0.11,0.39,0.33,-0.00,-0.01,0.33,servo deployment,0
85957,98.58,31.74,0.96,0.30,0.12,0.28,0.29,-0.11,-0.02,0.30,servo deployment,0
86049,98.58,31.74,0.97,0.30,0.11,0.17,0.19,-0.37,-0.04,0.20,servo deployment,0
86141,98.58,31.74,0.97,0.32,0.12,0.29,0.23,-0.17,-0.02,0.23,servo deployment,0
86233,98.57,31.74,0.95,0.32,0.10,0.46,0.38,0.30,0.02,0.38,servo deployment,0
86340,98.58,31.75,0.97,0.31,0.10,0.07,0.18,-0.34,-0.04,0.18,servo deployment,0
86433,98.58,31.75,0.97,0.31,0.11,0.03,0.03,-0.66,-0.07,0.06,servo deployment,0
86522,98.58,31.76,0.97,0.30,0.11,0.19,0.08,-0.36,-0.04,0.09,servo deployment,0
86612,98.58,31.75,0.96,0.31,0.10,-0.15,-0.11,-0.82,-0.09,-0.08,servo deployment,0
86701,98.57,31.76,0.96,0.32,0.11,0.48,0.23,0.37,0.04,0.24,servo deployment,0
86792,98.58,31.76,0.96,0.31,0.11,-0.05,0.07,-0.20,-0.02,0.07,servo deployment,0
86896,98.58,31.76,0.97,0.31,0.11,-0.06,-0.05,-0.47,-0.05,-0.04,servo deployment,0
86986,98.58,31.76,0.97,0.31,0.10,-0.02,-0.07,-0.41,-0.04,-0.06,servo deployment,0
87076,98.58,31.77,0.97,0.32,0.11,0.13,0.04,-0.01,0.00,0.04,servo deployment,0
87166,98.57,31.76,0.96,0.32,0.11,0.43,0.31,0.79,0.09,0.34,servo deployment,0
87256,98.58,31.76,0.97,0.30,0.10,0.10,0.23,0.35,0.04,0.24,servo deployment,0
87346,98.58,31.77,0.96,0.31,0.10,-0.08,0.04,-0.29,-0.03,0.04,servo deployment,0
87436,98.58,31.77,0.96,0.31,0.10,0.32,0.21,0.28,0.03,0.21,servo deployment,0
87539,98.58,31.77,0.96,0.31,0.12,-0.16,-0.03,-0.48,-0.06,-0.02,servo deployment,0
87630,98.58,31.77,0.97,0.31,0.11,0.15,0.06,-0.10,-0.01,0.06,servo deployment,0
87719,98.58,31.78,0.96,0.33,0.12,-0.11,-0.07,-0.45,-0.05,-0.06,servo deployment,0
87810,98.58,31.78,0.96,0.32,0.11,-0.22,-0.22,-0.75,-0.09,-0.19,servo deployment,0
87899,98.57,31.78,0.94,0.32,0.11,0.39,0.14,0.48,0.07,0.15,servo deployment,0
87990,98.58,31.78,0.96,0.31,0.11,0.18,0.21,0.57,0.08,0.23,servo deployment,0
88136,98.58,31.78,0.95,0.31,0.10,0.07,0.18,0.27,0.04,0.18,servo deployment,0
88226,98.58,31.78,0.97,0.30,0.11,-0.05,0.02,-0.21,-0.03,0.02,servo deployment,0
88315,98.58,31.78,0.96,0.32,0.13,0.03,0.01,-0.19,-0.03,0.01,servo deployment,0
88405,98.58,31.78,0.96,0.33,0.12,0.11,0.06,0.01,0.00,0.06,servo deployment,0
88495,98.58,31.79,0.95,0.32,0.13,0.11,0.10,0.10,0.02,0.10,servo deployment,0
88585,98.58,31.79,0.96,0.32,0.12,0.04,0.07,-0.00,0.00,0.07,servo deployment,0
88675,98.58,31.79,0.96,0.33,0.11,-0.04,-0.01,-0.22,-0.03,-0.00,servo deployment,0
88780,98.58,31.79,0.95,0.33,0.12,-0.15,-0.14,-0.53,-0.07,-0.12,servo deployment,0
88869,98.57,31.79,0.95,0.31,0.12,0.39,0.21,0.59,0.09,0.22,servo deployment,0
88960,98.58,31.79,0.95,0.32,0.13,0.20,0.26,0.58,0.09,0.27,servo deployment,0
89048,98.58,31.79,0.96,0.31,0.11,0.18,0.25,0.43,0.06,0.26,servo deployment,0
89139,98.58,31.79,0.97,0.33,0.10,0.11,0.19,0.14,0.02,0.19,servo deployment,0
89228,98.58,31.79,0.93,0.35,0.13,-0.02,0.05,-0.29,-0.04,0.06,servo deployment,0
89333,98.58,31.80,0.93,0.34,0.12,0.13,0.08,-0.13,-0.02,0.08,servo deployment,0
89423,98.58,31.80,0.92,0.36,0.16,0.01,0.02,-0.29,-0.04,0.02,servo deployment,0
