Code compiled on Mar 21 2026 at 12:11:29
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,QF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.6
Air Density (kg/m^3),1.193
Rocket CD,0.5
Airbrake CD,0.7
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),225
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),90
Control Max Velocity (dep/s),5

Calibration point: 293.222158
Time (us),RAW Altitude AGL (m),Corrected Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
157937515,2.429972,2.429972,35.639671,2,0.619324,-0.023254,0.004944,-0.784790,4.578133,2.624341,109.368538,6.140816,-2.766474,99.487476,2.478956,20.895022,98.028042,0.000000,0.000000,
157948576,2.547404,2.547404,35.644200,2,0.626343,-0.022400,0.002991,-0.779236,5.765612,1.223233,108.347794,4.144038,-3.362204,98.576957,2.728982,21.993514,98.388059,0.000000,0.000000,
157957791,3.141337,3.141337,35.635143,2,0.635742,-0.020752,0.002747,-0.771606,5.045046,1.062041,107.635474,3.900367,-2.779254,97.854256,3.013220,22.946449,98.037956,0.000000,0.000000,
157967655,2.726938,2.726938,35.635143,2,0.643188,-0.020264,0.003296,-0.765442,2.903983,2.280295,109.164405,5.590084,-0.960206,99.281168,3.190721,23.890594,98.853339,0.000000,0.000000,
157978352,3.581644,3.581644,35.644200,2,0.648804,-0.020264,0.004089,-0.760681,3.931308,1.499338,107.547220,4.738981,-1.958075,97.708792,3.525210,24.983913,98.102668,0.000000,0.000000,
157987950,3.374705,3.374705,35.644200,2,0.650574,-0.020752,0.004272,-0.759155,4.062950,2.994251,108.119983,6.335815,-2.258542,98.229655,3.741278,25.908128,98.185954,0.000000,0.000000,
157997652,4.408488,4.408488,35.644200,2,0.650879,-0.022278,0.005249,-0.758850,3.538950,1.818915,106.727988,5.594238,-1.533578,96.844338,4.122343,26.929393,97.306033,0.000000,0.000000,
158008715,4.202036,4.202036,35.644200,2,0.651184,-0.024841,0.006653,-0.758484,3.882859,2.585275,105.676417,6.859059,-1.880488,95.737006,4.441019,27.998946,96.276957,0.000000,0.000000,
158018074,4.885599,4.885599,35.630614,2,0.651489,-0.028564,0.008850,-0.758057,3.787136,2.534088,106.028798,7.743911,-1.601836,96.034015,4.790739,28.952822,96.117621,0.000000,0.000000,
158029872,4.705515,4.705515,35.639671,2,0.651672,-0.033264,0.011475,-0.757690,3.588707,2.475625,104.236585,8.843259,-1.187449,94.152551,5.122783,30.054584,94.828793,0.000000,0.000000,
158038703,5.002543,5.002543,35.635143,2,0.651733,-0.039001,0.014771,-0.757263,3.936046,3.239810,104.433936,10.785966,-1.401717,94.186675,5.369238,30.870680,94.407647,0.000000,0.000000,
158048167,5.325968,5.325968,35.639671,2,0.651611,-0.045654,0.018616,-0.756958,3.582237,3.142570,103.547365,12.239354,-0.768783,93.131351,5.657397,31.746712,93.570564,0.000000,0.000000,
