Code compiled on Mar 18 2026 at 15:50:09
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name,RF
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.59
Air Density (kg/m^3),1.19
Rocket CD,0.525
Airbrake CD,0.725
Rocket Area (m^2),0.00243
Kalman Model Y STD,1
Kalman Model V STD,0.4
Kalman Model A STD,5
Kalman Measurement Y STD,5
Kalman Measurement A STD,2
Target Apogee (m),228.6
Launch Acceleration Threshold (m/s^2),40
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter Lockout (s),60
Control Max Velocity (dep/s),2

Calibration point: 250.791666
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Raw Local Acceleration X,IMU Raw Local Acceleration Y,IMU Raw Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,Real servo deployment,
299050567,-0.946391,25.524047,1,0.761108,0.003113,-0.004517,-0.648621,-2.191702,-2.354056,40.257515,-3.105960,1.828780,30.423401,-0.413982,0.087414,19.953835,0.000000,0.000000,
299059197,-0.451395,25.519512,2,0.761108,0.003113,-0.004517,-0.648621,-3.546938,-5.532534,88.924670,-6.990094,2.717454,79.050097,-0.415652,0.748175,58.713232,0.000000,0.000000,
299070287,-0.358683,25.514976,2,0.760986,0.003113,-0.004517,-0.648743,-2.642714,-3.689852,90.379166,-5.042539,2.119885,80.526603,-0.391149,1.626778,73.019943,0.000000,0.000000,
299078806,-0.341685,25.524047,2,0.760681,0.003235,-0.004761,-0.649048,5.008666,-4.765252,94.724708,-5.003351,-5.567142,84.880083,-0.364470,2.362159,80.798639,0.000000,0.000000,
299088613,-0.433375,25.528583,2,0.762207,0.003052,-0.005737,-0.647278,0.446301,-12.544719,97.664435,-13.549089,-2.189594,87.705884,-0.349704,3.212683,85.328886,0.000000,0.000000,
299097550,0.061651,25.524047,2,0.766907,0.002563,-0.006592,-0.641724,0.043506,-9.935250,97.826911,-11.079413,-1.358578,87.893385,-0.240547,4.046199,87.010863,0.000000,0.000000,
299106997,-0.635279,25.528583,2,0.771423,0.001648,-0.007263,-0.636292,-2.413654,-4.783965,97.209872,-6.441309,2.102638,87.319782,-0.272143,4.825793,87.213472,0.000000,0.000000,
299117621,0.061651,25.524047,2,0.774048,0.001587,-0.006470,-0.633118,-3.218265,-4.203761,98.392869,-5.935353,2.877591,88.512849,-0.153420,5.804068,88.065694,0.000000,0.000000,
299127118,0.044653,25.514976,2,0.775391,0.002136,-0.006470,-0.631470,-2.953299,-9.806251,102.452913,-11.501937,1.402955,92.508259,-0.056865,6.707116,90.979435,0.000000,0.000000,
299136718,-0.341685,25.524047,2,0.776672,0.002380,-0.006042,-0.629822,-0.271239,-13.739860,101.480811,-14.753185,-2.179010,91.514335,-0.041541,7.551935,91.330258,0.000000,0.000000,
299147698,0.044653,25.514976,2,0.776733,0.002319,-0.005554,-0.629761,3.677845,-8.523391,98.478903,-8.710322,-5.031654,88.601785,0.062757,8.536278,89.540738,0.000000,0.000000,
299157257,0.044653,25.514976,2,0.776611,0.002441,-0.005310,-0.630005,-2.475571,-5.161915,101.400242,-6.706718,1.652072,91.525764,0.145236,9.409609,90.842655,0.000000,0.000000,
299168265,0.044653,25.514976,2,0.777527,0.002441,-0.005493,-0.628784,2.536368,-15.041178,102.224039,-15.357650,-5.311918,92.268885,0.235598,10.412542,91.778074,0.000000,0.000000,
299177692,0.741094,25.510440,2,0.777588,0.002625,-0.005371,-0.628784,1.133630,-9.191577,101.965072,-9.930947,-2.767343,92.063326,0.432738,11.343296,91.965164,0.000000,0.000000,
