Code compiled on Dec 22 2025 at 15:34:53
﻿Simulation Mode (T/F),F
Airbrakes Enabled (T/F),T
Log File Name (max 7 chars uppercase),FLIGHT
Sim File Name (if applicable),Sim
Burnout Mass (kg),0.637
Air Density (kg/m^3),1.18
Rocket CD,0.71
Airbrake CD,0.8
Rocket Area (m^2),0.00243
Kalman Model Y STD,0.05
Kalman Model V STD,0.1
Kalman Model A STD,0.015
Kalman Measurement Y STD,0.26
Kalman Measurement A STD,0.013
Target Apogee (m),216
Launch Acceleration Threshold (m/s^2),20
Coast Lockout (s),1.5
KP (1/s),0.24
Altimeter lockout (s),120

Calibration point: 199.554877
Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment,
219200224,0.031533,16.653738,1,0.993530,-0.010132,-0.015686,-0.111938,0.040000,0.020000,-0.240000,0.050369,0.004936,-0.238828,0.000000,0.000000,0.000000,0.000000,
219213711,-0.339561,16.663025,1,0.993530,-0.010132,-0.015686,-0.112000,-0.040000,0.010000,-0.260000,-0.029234,0.012488,-0.261322,-0.144395,-0.003485,-0.258411,0.000000,
219220593,0.121239,16.667668,1,0.993530,-0.010132,-0.015686,-0.112000,-0.040000,0.010000,-0.260000,-0.029234,0.012488,-0.261322,-0.001464,-0.002836,-0.261290,0.000000,
219229108,0.117135,16.686242,1,0.993530,-0.010132,-0.015686,-0.112000,-0.020000,0.010000,-0.240000,-0.010324,0.008517,-0.240668,0.065053,-0.003346,-0.240895,0.000000,
219241511,-0.252937,16.695529,1,0.993530,-0.010132,-0.015686,-0.112000,0.030000,-0.080000,-0.280000,0.019495,-0.091264,-0.277472,-0.114903,-0.013801,-0.277069,0.000000,
219249586,0.299615,16.695529,1,0.993530,-0.010132,-0.015686,-0.111938,0.030000,-0.080000,-0.280000,0.019506,-0.091262,-0.277472,0.119919,0.001109,-0.277467,0.000000,
219258675,-0.163230,16.709459,1,0.993530,-0.010132,-0.015686,-0.111755,0.080000,0.040000,-0.240000,0.093795,0.015580,-0.237823,-0.040621,-0.013455,-0.238260,0.000000,
219363169,0.483132,16.704816,1,0.993530,-0.010132,-0.015686,-0.111938,0.040000,0.010000,-0.250000,0.048431,-0.005048,-0.248654,0.256366,-0.011199,-0.248540,0.000000,
219370399,-0.068412,16.695529,1,0.993530,-0.010132,-0.015686,-0.111938,0.030000,-0.020000,-0.240000,0.031715,-0.031833,-0.238497,0.064033,-0.164471,-0.238608,0.000000,
219383723,-0.163230,16.709459,1,0.993530,-0.010132,-0.015686,-0.111938,0.010000,0.030000,-0.260000,0.023941,0.020873,-0.259983,-0.068849,-0.221283,-0.259747,0.000000,
