Time_s,Simulated_Altitude_AGL_m,Raw_Barometer_Altitude_AGL_m,Filtered_Altitude_AGL_m,Simulated_Velocity_ms,Filtered_Velocity_ms,Deployment_Level,Predicted_Apogee_AGL_m,Motor_Burning,Control_Active,Target_Apogee_AGL_m,Environment_Elevation_m,Apogee_Prediction_Cd,Altitude_Error_m,Velocity_Error_ms,Apogee_Error_m,Flight_Altitude_AGL_m,Flight_Velocity_Total_ms,Flight_Acceleration_ms2,Flight_Mach_Number,Flight_Dynamic_Pressure_Pa
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,228.6,200,1.0,0.0,0.0,-228.6,0.0,0.0,0.0,0.0,0.0
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,True,False,228.6,200,1.0,0.0,0.0,-228.6,0.0,0.0,0.0,0.0,0.0
0.05,0.11784227134984349,,0.11784227134984349,5.209767584766677,0.0,0.0,0.0,True,False,228.6,200,1.0,0.0,5.209767584766677,-228.6,0.11784227134984349,5.2296680505790825,114.97442945902917,0.01540527024079471,16.437461095359296
0.1,0.5207929177446999,,0.5207929177446999,10.893754844392566,0.0,0.0,0.0,True,False,228.6,200,1.0,0.0,10.893754844392566,-228.6,0.5207929177446999,10.9353672181352,113.22077451605269,0.03221296385280182,71.86815423543085
0.1,0.5207929177446999,0.8486829726406342,0.8486829726406342,10.893754844392566,0.0,0.0,0.8486829726406342,True,False,228.6,200,1.0,0.32789005489593426,10.893754844392566,-227.75131702735936,0.5207929177446999,10.9353672181352,113.22077451605269,0.03221296385280182,71.86815423543085
0.15000000000000002,1.2056798650014002,0.45112429684496247,0.5825187900950657,16.48556650307944,-0.06931059518942946,0.0,0.5825187900950657,True,False,228.6,200,1.0,0.6231610749063345,16.554877098268868,-228.01748120990493,1.2056798650014002,16.548538688931252,111.27475310614184,0.048748421709383365,164.57375833765516
0.2,2.1676568583804112,1.3672605669067828,0.910660654152256,21.9758405281538,0.39204994198291926,0.0,0.9184944766922882,True,False,228.6,200,1.0,1.2569962042281553,21.58379058617088,-227.6815055233077,2.1676568583804112,22.059784668849858,109.14529291453772,0.06498411813744912,292.4178284897685
0.2,2.1676568583804112,1.3672605669067828,1.045887772435755,21.9758405281538,0.5816170090828632,0.0,1.0631283997569074,True,False,228.6,200,1.0,1.1217690859446563,21.394223519070938,-227.53687160024307,2.1676568583804112,22.059784668849858,109.14529291453772,0.06498411813744912,292.4178284897685
0.25,3.400884177089921,2.810770792614483,1.5732648873837394,27.321167408034597,2.8950922164531905,0.0,1.999921054171626,True,False,228.6,200,1.0,1.8276192897061816,24.426075191581408,-226.60007894582836,3.400884177089921,27.426691635285646,105.45180088203081,0.08079525574503914,451.9567748728263
0.3,4.896550397091431,3.9086639697109704,2.478367095930153,32.472991959485704,8.602610339445803,0.0,6.208843027817574,True,False,228.6,200,1.0,2.418183301161278,23.8703816200399,-222.39115697218242,4.896550397091431,32.601921521808485,101.5374673252135,0.09604250691198087,638.5196632842062
