Time_s,Simulated_Altitude_AGL_m,Raw_Barometer_Altitude_AGL_m,Filtered_Altitude_AGL_m,Simulated_Velocity_ms,Filtered_Velocity_ms,Deployment_Level,Predicted_Apogee_AGL_m,Motor_Burning,Control_Active,Target_Apogee_AGL_m,Environment_Elevation_m,Apogee_Prediction_Cd,Temperature_C,Filtered_Acceleration_ms2,Raw_Accelerometer_ms2,Altitude_Error_m,Velocity_Error_ms,Apogee_Error_m,Flight_Altitude_AGL_m,Flight_Velocity_Total_ms,Flight_Acceleration_ms2,Flight_Mach_Number,Flight_Dynamic_Pressure_Pa,Environment_Temperature_C
2.95,154.64655238282762,154.50707098673627,154.50514650510667,42.45973364572554,42.45524504384368,0.5624999999999994,228.60702070143066,False,True,228.6,260,0.8,12.303937366060552,-14.3,-14.3,0.14140587772095614,0.004488601881860177,0.007020701430661802,154.64655238282762,42.87852470221676,14.525218535490108,0.12663766819280436,1082.3402118295212,
3.0,156.75145381630443,156.61325270354826,156.61058208341137,41.73757375514679,41.74206894960731,0.5624999999999994,228.68086728585826,False,True,228.6,260,0.8,12.290198604185832,-14.100000000000001,-14.100000000000001,0.14087173289306065,0.004495194460517382,0.08086728585826108,156.75145381630443,42.15879201921275,14.380070536152278,0.1245151827066154,1046.095547543009,
3.0,156.75145381630443,156.61325270354826,156.61100804554414,41.73757375514679,41.74332671708335,0.5624999999999994,228.68486616616514,False,True,228.6,260,0.8,12.290198604185832,-14.100000000000001,-14.100000000000001,0.1404457707602944,0.005752961936558165,0.08486616616514198,156.75145381630443,42.15879201921275,14.380070536152278,0.1245151827066154,1046.095547543009,
3.0500000000000003,158.8204557181818,158.68522889036268,158.68134650478135,41.02326009115484,41.040978201045576,0.5849999999999995,228.76577623432885,False,True,228.6,260,0.8,12.276682321952649,-14.100000000000001,-14.100000000000001,0.13910921340044524,0.017718109890736855,0.16577623432885957,158.8204557181818,41.44704157021153,14.223162972831926,0.12241611161058548,1010.8681864435897,
3.0500000000000003,158.8204557181818,158.68522889036268,158.68194897227542,41.02326009115484,41.042822567508104,0.5849999999999995,228.6456560670712,False,True,228.6,260,0.8,12.276682321952649,-14.100000000000001,-14.100000000000001,0.13850674590636913,0.019562476353264913,0.04565606707120651,158.8204557181818,41.44704157021153,14.223162972831926,0.12241611161058548,1010.8681864435897,
3.1,160.85393118110346,160.72298370384897,160.7175755016666,40.31579162410632,40.341516111628884,0.6074999999999995,228.713211504985,False,True,228.6,260,0.8,12.263388654328082,-14.100000000000001,-14.100000000000001,0.13635567943686056,0.02572448752256662,0.11321150498500288,160.85393118110346,40.742264221538235,14.092572665303594,0.12033747934607833,976.5886856476465,
3.1,160.85393118110346,160.72298370384897,160.71840037564866,40.31579162410632,40.34409901619029,0.6074999999999995,228.6024240582081,False,True,228.6,260,0.8,12.263388654328082,-14.100000000000001,-14.100000000000001,0.1355308054548061,0.028307392083974037,0.0024240582081063167,160.85393118110346,40.742264221538235,14.092572665303594,0.12033747934607833,976.5886856476465,
3.1500000000000004,162.85217063502586,162.72650155434758,162.7194318614472,39.61429700788849,39.64392727938328,0.6074999999999995,228.65712630990174,False,True,228.6,260,0.8,12.250317734128771,-13.8,-13.8,0.13273877357866581,0.029630271494788474,0.05712630990174716,162.85217063502586,40.04358227070021,13.975487769666056,0.11827669805751695,943.1974167971031,
3.1500000000000004,162.85217063502586,162.72650155434758,162.7204989727896,39.61429700788849,39.64731466109247,0.6074999999999995,228.66757952957178,False,True,228.6,260,0.8,12.250317734128771,-13.8,-13.8,0.1316716622362435,0.03301765320398431,0.06757952957178759,162.85217063502586,40.04358227070021,13.975487769666056,0.11827669805751695,943.1974167971031,
3.2,164.81551643560715,164.6957671063799,164.6873441003916,38.919908613645674,38.96306717266746,0.6299999999999994,228.74458827568938,False,True,228.6,260,0.8,12.237469692015736,-13.8,-13.8,0.12817233521553817,0.04315855902178356,0.1445882756893866,164.81551643560715,39.35214370207791,13.828505249198951,0.1162371630467681,910.7316037825944,
