Time (s),Altitude_AGL_m,Vertical_Velocity_ms,Vertical_Acceleration_ms2,Total_Velocity_ms,Mach_Number,Dynamic_Pressure_Pa,Deployment_Level,Predicted_Apogee_m,Filtered_Altitude_m,Filtered_Velocity_ms,Raw_Barometer_Altitude_m,Altitude_Error_m,Velocity_Error_ms,Motor_Burning,Control_Active,Target_Apogee_m,Apogee_Error_m
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.12574201822224,113.12574201822224,0.0,113.12574201822224,113.12574201822224,0.0,True,False,228.6,-115.47425798177775
0.02,0.013279535592431557,1.7490715926847737,117.68138229148616,1.7557527620205136,0.005173870523908194,1.8474347596619816,0.0,113.06201572315709,113.06201572315709,-0.08928682079861015,112.97429101245038,113.0148787392841,2.1731976965832382,True,False,228.6,-115.5379842768429
0.04,0.0714775446496958,4.062768029531678,114.8637454511752,4.078287143380794,0.012017947485330376,9.967713921271235,0.0,112.99828942809194,112.99828942809194,-0.1785736415972203,112.82284000667853,112.90401546034596,4.3463953931664765,True,False,228.6,-115.60171057190806
0.06,0.17566015630279708,6.353485640291789,114.20383345101426,6.377754923271695,0.01879407153674744,24.376495865483626,0.0,112.9506598818846,112.9506598818846,-0.2771034502763222,112.7505565119376,112.75222707427282,6.623684480273635,True,False,228.6,-115.64934011811539
0.08,0.32552511241834736,8.630705882634238,113.51291373311885,8.663673776990313,0.025530300524438835,44.98146108333949,0.0,112.91912708453509,112.91912708453509,-0.384876246835916,112.75744052822759,112.55951358106466,9.005064957904715,True,False,228.6,-115.6808729154649
0.1,0.5207941993290603,10.893796392140286,112.79099253439175,10.935408924588566,0.03222477470074978,71.66239084082767,0.0,112.88759428718558,112.88759428718558,-0.4926490433955097,112.76432454451759,112.36680008785652,11.386445435535796,True,False,228.6,-115.71240571281442
0.12,0.7611786640161426,13.142141716732684,112.03849383468693,13.192342563062253,0.03887568409788416,104.29297549377658,0.0,113.06713069885797,113.00609219693548,0.396686731205768,113.25311899623367,112.21134167413285,12.733867114587765,True,False,228.6,-115.53286930114203
0.14,1.0463775252059122,15.375135950442113,111.2559705909431,15.433866471979682,0.04548124672479624,142.74102390184157,0.0,113.24666711053034,113.12459010668539,1.2860225058070467,113.74191344794976,112.0558832604092,14.081288793639736,True,False,228.6,-115.35333288946966
0.16,1.3760777922846614,17.59218408614482,110.44397976673734,17.659383371386554,0.05203971255629925,186.86874004982127,0.0,113.97705718191091,113.33451364503236,2.8191602498283403,114.17737369567965,111.93643126130029,14.764615776600396,True,False,228.6,-114.62294281808909
0.18,1.7499546886867847,19.792702614274287,109.60310899894893,19.868307522804603,0.05854936529234201,236.5330052540225,0.0,115.25830091299967,113.63586281197638,4.996099963269652,114.55949973942336,111.8529856768061,14.783848063469748,True,False,228.6,-113.34169908700032
