,,,,,,,,,,,,
time stamp,raw pressure,raw temperature,raw ax,raw ay,raw aZ,calcualted alt,y estimate,v estimate,a estimate,apogee estimate,servo deployment,flight mode
89133,98.58,27.00,0.01,0.03,1.00,0.30,0.22,0.48,0.07,apogee estimate,0.00,0
89221,98.58,27.00,0.01,0.03,1.00,0.03,0.12,0.08,0.01,apogee estimate,0.00,0
89311,98.58,27.00,0.02,0.03,1.00,0.18,0.17,0.19,0.03,apogee estimate,0.00,0
89399,98.58,27.00,0.01,0.03,1.00,0.26,0.25,0.39,0.06,apogee estimate,0.00,0
89490,98.58,27.00,0.01,0.02,1.00,0.20,0.25,0.30,0.04,apogee estimate,0.00,0
89579,98.58,27.00,0.02,0.03,1.00,0.34,0.35,0.49,0.07,apogee estimate,0.00,0
89670,98.58,27.00,0.02,0.03,1.00,0.27,0.33,0.33,0.05,apogee estimate,0.00,0
89774,98.58,27.00,0.02,0.03,1.00,0.03,0.14,-0.30,-0.05,apogee estimate,0.00,0
89863,98.58,27.01,0.01,0.03,1.00,0.15,0.12,-0.29,-0.05,apogee estimate,0.00,0
89953,98.58,27.01,0.01,0.03,1.00,-0.17,-0.12,-0.89,-0.14,apogee estimate,0.00,0
90042,98.58,27.01,0.01,0.03,1.00,-0.09,-0.18,-0.86,-0.13,apogee estimate,0.00,0
90132,98.58,27.01,0.02,0.03,1.00,0.13,-0.04,-0.23,-0.03,apogee estimate,0.00,0
90221,98.58,27.01,0.02,0.03,1.00,0.46,0.29,0.80,0.13,apogee estimate,0.00,0
90326,98.58,27.01,0.01,0.03,1.00,0.08,0.22,0.37,0.06,apogee estimate,0.00,0
90415,98.58,27.02,0.01,0.03,1.00,0.03,0.11,-0.03,-0.00,apogee estimate,0.00,0
90506,98.58,27.01,0.01,0.03,1.00,0.18,0.16,0.11,0.02,apogee estimate,0.00,0
90595,98.58,27.02,0.01,0.03,1.00,0.10,0.13,-0.00,-0.00,apogee estimate,0.00,0
90686,98.58,27.02,0.01,0.03,1.00,0.42,0.34,0.60,0.10,apogee estimate,0.00,0
90775,98.58,27.02,0.01,0.03,1.00,0.18,0.28,0.28,0.05,apogee estimate,0.00,0
90866,98.58,27.02,0.01,0.03,1.00,0.08,0.16,-0.14,-0.02,apogee estimate,0.00,0
90970,98.58,27.02,0.01,0.03,1.00,0.24,0.21,0.04,0.01,apogee estimate,0.00,0
91059,98.58,27.02,0.01,0.03,1.00,0.12,0.14,-0.16,-0.03,apogee estimate,0.00,0
91149,98.58,27.02,0.02,0.03,1.00,0.26,0.22,0.09,0.01,apogee estimate,0.00,0
91238,98.58,27.02,0.02,0.03,1.00,0.32,0.30,0.31,0.05,apogee estimate,0.00,0
91328,98.58,27.02,0.01,0.03,1.00,0.01,0.12,-0.30,-0.05,apogee estimate,0.00,0
91417,98.58,27.03,0.01,0.03,1.00,0.05,0.04,-0.45,-0.08,apogee estimate,0.00,0
91522,98.58,27.02,0.01,0.03,1.00,0.09,0.03,-0.36,-0.06,apogee estimate,0.00,0
91610,98.58,27.03,0.01,0.03,1.00,0.49,0.34,0.62,0.11,apogee estimate,0.00,0
91701,98.58,27.03,0.01,0.03,1.00,0.24,0.32,0.42,0.07,apogee estimate,0.00,0
91790,98.58,27.03,0.01,0.03,1.00,0.13,0.22,0.03,0.00,apogee estimate,0.00,0
91881,98.58,27.03,0.01,0.03,1.00,0.05,0.10,-0.34,-0.06,apogee estimate,0.00,0
91969,98.58,27.03,0.01,0.03,1.00,0.17,0.12,-0.19,-0.04,apogee estimate,0.00,0
92059,98.58,27.03,0.01,0.03,1.00,0.39,0.30,0.38,0.06,apogee estimate,0.00,0
92163,98.58,27.03,0.01,0.03,1.00,0.18,0.25,0.13,0.02,apogee estimate,0.00,0
92252,98.58,27.04,0.01,0.03,1.00,0.19,0.22,0.02,-0.00,apogee estimate,0.00,0
92342,98.58,27.04,0.01,0.03,1.00,0.09,0.13,-0.25,-0.05,apogee estimate,0.00,0
92431,98.58,27.03,0.02,0.03,1.00,0.06,0.06,-0.39,-0.07,apogee estimate,0.00,0
92521,98.58,27.04,0.01,0.03,1.00,0.07,0.03,-0.36,-0.06,apogee estimate,0.00,0
92610,98.58,27.04,0.02,0.03,1.00,0.31,0.20,0.21,0.04,apogee estimate,0.00,0
92699,98.58,27.04,0.01,0.03,1.00,0.59,0.50,1.04,0.18,apogee estimate,0.00,0
92802,98.58,27.04,0.01,0.03,1.00,0.31,0.47,0.67,0.11,apogee estimate,0.00,0
92892,98.58,27.04,0.01,0.03,1.00,0.58,0.61,0.91,0.15,apogee estimate,0.00,0
92980,98.58,27.04,0.01,0.03,1.00,0.27,0.45,0.22,0.03,apogee estimate,0.00,0
93070,98.58,27.04,0.02,0.03,1.00,0.58,0.56,0.49,0.08,apogee estimate,0.00,0
93158,98.58,27.05,0.01,0.03,1.00,0.18,0.33,-0.30,-0.07,apogee estimate,0.00,0
93249,98.58,27.05,0.02,0.03,1.00,0.13,0.16,-0.73,-0.14,apogee estimate,0.00,0
93394,98.58,27.05,0.01,0.03,1.00,0.03,-0.06,-1.04,-0.19,apogee estimate,0.00,0
93483,98.58,27.05,0.01,0.03,1.00,0.48,0.29,0.15,0.03,apogee estimate,0.00,0
93572,98.58,27.05,0.01,0.03,1.00,0.37,0.36,0.29,0.06,apogee estimate,0.00,0
93661,98.58,27.05,0.01,0.03,1.00,0.08,0.19,-0.24,-0.05,apogee estimate,0.00,0
93750,98.58,27.05,0.01,0.03,1.00,0.29,0.24,-0.05,-0.01,apogee estimate,0.00,0
93839,98.58,27.06,0.02,0.03,1.00,0.19,0.20,-0.16,-0.03,apogee estimate,0.00,0
93928,98.58,27.05,0.01,0.03,1.00,0.30,0.26,0.06,0.01,apogee estimate,0.00,0
94032,98.58,27.06,0.01,0.03,1.00,0.37,0.35,0.30,0.05,apogee estimate,0.00,0
94121,98.58,27.06,0.01,0.03,1.00,0.19,0.26,-0.03,-0.01,apogee estimate,0.00,0
94212,98.58,27.05,0.01,0.03,1.00,0.49,0.42,0.43,0.08,apogee estimate,0.00,0
94301,98.58,27.06,0.01,0.03,1.00,0.19,0.30,-0.03,-0.01,apogee estimate,0.00,0
94391,98.58,27.06,0.01,0.03,1.00,0.39,0.36,0.16,0.03,apogee estimate,0.00,0
94480,98.58,27.06,0.01,0.03,1.00,0.18,0.24,-0.22,-0.04,apogee estimate,0.00,0
94570,98.58,27.07,0.01,0.03,1.00,0.28,0.25,-0.14,-0.03,apogee estimate,0.00,0
94674,98.58,27.06,0.01,0.02,1.00,0.34,0.30,0.05,0.01,apogee estimate,0.00,0
94763,98.58,27.06,0.01,0.03,1.00,0.38,0.36,0.21,0.04,apogee estimate,0.00,0
94853,98.58,27.07,0.01,0.03,1.00,0.26,0.31,0.00,-0.00,apogee estimate,0.00,0
94942,98.58,27.06,0.01,0.03,1.00,0.44,0.40,0.26,0.05,apogee estimate,0.00,0
95032,98.58,27.08,0.02,0.03,1.00,0.14,0.24,-0.28,-0.05,apogee estimate,0.00,0
95121,98.58,27.07,0.01,0.03,1.00,0.30,0.26,-0.16,-0.03,apogee estimate,0.00,0
95225,98.58,27.07,0.01,0.03,1.00,0.22,0.21,-0.24,-0.04,apogee estimate,0.00,0
95314,98.58,27.08,0.01,0.03,1.00,0.00,0.03,-0.69,-0.13,apogee estimate,0.00,0
95405,98.58,27.07,0.01,0.03,1.00,-0.15,-0.16,-1.09,-0.20,apogee estimate,0.00,0
95493,98.58,27.08,0.01,0.03,1.00,0.14,-0.04,-0.47,-0.08,apogee estimate,0.00,0
95583,98.58,27.08,0.02,0.03,1.00,0.25,0.12,0.13,0.03,apogee estimate,0.00,0
95671,98.58,27.08,0.01,0.03,1.00,0.01,0.06,-0.10,-0.01,apogee estimate,0.00,0
95761,98.58,27.08,0.01,0.03,1.00,0.50,0.36,0.83,0.16,apogee estimate,0.00,0
95865,98.58,27.08,0.01,0.03,1.00,-0.07,0.13,-0.07,-0.01,apogee estimate,0.00,0
95954,98.58,27.08,0.01,0.03,1.00,0.42,0.34,0.57,0.11,apogee estimate,0.00,0
96044,98.58,27.08,0.01,0.03,1.00,0.35,0.40,0.60,0.11,apogee estimate,0.00,0
96133,98.58,27.09,0.01,0.03,1.00,0.12,0.25,0.02,0.00,apogee estimate,0.00,0
96223,98.58,27.09,0.01,0.03,1.00,0.23,0.24,-0.02,-0.00,apogee estimate,0.00,0
96312,98.58,27.09,0.01,0.03,1.00,0.14,0.17,-0.23,-0.04,apogee estimate,0.00,0
96417,98.58,27.08,0.01,0.03,1.00,0.19,0.16,-0.19,-0.03,apogee estimate,0.00,0
