Time_s,Simulated_Altitude_AGL_m,Raw_Barometer_Altitude_AGL_m,Filtered_Altitude_AGL_m,Simulated_Velocity_ms,Filtered_Velocity_ms,Deployment_Level,Predicted_Apogee_AGL_m,Motor_Burning,Control_Active,Target_Apogee_AGL_m,Environment_Elevation_m,Apogee_Prediction_Cd,Temperature_C,Filtered_Acceleration_ms2,Raw_Accelerometer_ms2,Altitude_Error_m,Velocity_Error_ms,Apogee_Error_m,Flight_Altitude_AGL_m,Flight_Velocity_Total_ms,Flight_Acceleration_ms2,Flight_Mach_Number,Flight_Dynamic_Pressure_Pa,Environment_Temperature_C
2.6500000000000004,143.6766705935226,143.7651400202274,143.76214174432428,46.79893195838571,46.96075884342886,0.7950000000000003,228.5810775527972,False,True,228.6,260,0.8,12.380052891982245,-16.7,-16.7,0.08547115080168055,0.1618268850431548,-0.018922447202783133,143.6766705935226,47.20007070131825,16.785515735790664,0.13938241186771141,1312.905635368001,285.5306269514927
2.6500000000000004,143.6766705935226,143.7651400202274,143.76262004937303,46.79893195838571,46.962170001025406,0.7950000000000003,228.58549655902448,False,True,228.6,260,0.8,12.380052891982245,-16.7,-16.7,0.08594945585042524,0.16323804263969777,-0.014503440975516924,143.6766705935226,47.20007070131825,16.785515735790664,0.13938241186771141,1312.905635368001,285.5306269514927
2.7,145.99578377798997,146.10153076023533,146.09184267974572,45.96710541602821,46.13378646696916,0.7950000000000003,228.60496192596628,False,True,228.6,260,0.8,12.364892543661483,-16.7,-16.7,0.09605890175575382,0.16668105094095154,0.004961925966284753,145.99578377798997,46.36935690697159,16.53962458132729,0.13693315223575372,1266.8123147949048,285.5155787135975
2.7,145.99578377798997,146.10153076023533,146.09329801603013,45.96710541602821,46.13843458376607,0.7950000000000003,228.61935699056457,False,True,228.6,260,0.8,12.364892543661483,-16.7,-16.7,0.09751423804016213,0.17132916773785922,0.019356990564574517,145.99578377798997,46.36935690697159,16.53962458132729,0.13693315223575372,1266.8123147949048,285.5155787135975
2.75,148.2736235634993,148.38651362304546,148.38056591359987,45.14731498073371,45.30749657198321,0.7950000000000003,228.5973545160187,False,True,228.6,260,0.8,12.350065770248136,-16.2,-16.2,0.10694235010055309,0.16018159124949705,-0.0026454839812970476,148.2736235634993,45.55082329434632,16.301636421327267,0.13451965787224035,1222.2111469469862,285.50079829011105
2.75,148.2736235634993,148.38651362304546,148.38147387715026,45.14731498073371,45.31033598353068,0.7950000000000003,228.606139521962,False,True,228.6,260,0.8,12.350065770248136,-16.2,-16.2,0.10785031365094255,0.16302100279696674,0.006139521962012395,148.2736235634993,45.55082329434632,16.301636421327267,0.13451965787224035,1222.2111469469862,285.50079829011105
2.8000000000000003,150.51075285660107,150.6373705015149,150.62855139397277,44.33919483065869,44.50635899959568,0.7950000000000003,228.6269399388471,False,True,228.6,260,0.8,12.33546043317267,-15.9,-15.9,0.11779853737169788,0.16716416893699204,0.026939938847107214,150.51075285660107,44.74410547712553,16.07124131475625,0.13214086013672818,1179.0461207733035,285.48628202845106
2.8000000000000003,150.51075285660107,150.6373705015149,150.62987833864517,44.33919483065869,44.51058829923305,0.7950000000000003,228.63995592855696,False,True,228.6,260,0.8,12.33546043317267,-15.9,-15.9,0.11912548204409745,0.1713934685743581,0.03995592855696373,150.51075285660107,44.74410547712553,16.07124131475625,0.13214086013672818,1179.0461207733035,285.48628202845106
2.85,152.70778821046957,152.83675908039191,152.83574165004387,43.542347581474466,43.7162831546189,0.7950000000000003,228.65488375813942,False,True,228.6,260,0.8,12.321189063072893,-15.9,-15.9,0.1279534395742985,0.17393557314443342,0.054883758139425254,152.70778821046957,43.94880600446604,15.84813206525622,0.12979559253741277,1137.2614875215393,285.4720259279336
2.85,152.70778821046957,152.83675908039191,152.83592767805723,43.542347581474466,43.716738343076244,0.7950000000000003,228.65632273381408,False,True,228.6,260,0.8,12.321189063072893,-15.9,-15.9,0.12813946758765837,0.1743907616017779,0.05632273381408481,152.70778821046957,43.94880600446604,15.84813206525622,0.12979559253741277,1137.2614875215393,285.4720259279336
2.9000000000000004,154.86524725113907,155.0019698313244,155.00190326289317,42.75644280780078,42.921783806100144,0.7950000000000003,228.63893019014444,False,True,228.6,260,0.8,12.307139465713192,-15.600000000000001,-15.600000000000001,0.13665601175409847,0.16534099829936366,0.03893019014444121,154.86524725113907,43.16459407668781,15.632036894801441,0.12748288498425275,1096.8069452516863,285.45802662979213
2.9000000000000004,154.86524725113907,155.0019698313244,155.00194964071218,42.75644280780078,42.921779646492865,0.7950000000000003,228.63896516940707,False,True,228.6,260,0.8,12.307139465713192,-15.600000000000001,-15.600000000000001,0.13670238957311653,0.1653368386920846,0.03896516940707784,154.86524725113907,43.16459407668781,15.632036894801441,0.12748288498425275,1096.8069452516863,285.45802662979213
2.95,156.98369600747583,157.13298114547763,157.12929537706762,41.98112175775415,42.14429684932547,0.7950000000000003,228.64078438347053,False,True,228.6,260,0.8,12.293311781308887,-15.200000000000001,-15.200000000000001,0.14559936959179254,0.16317509157131838,0.04078438347053748,156.98369600747583,42.39110988971372,15.422689249443442,0.12520168154189754,1057.6324843031257,285.44428046118435
2.95,156.98369600747583,157.13298114547763,157.12987005015,41.98112175775415,42.14604445690701,0.7950000000000003,228.64612523866157,False,True,228.6,260,0.8,12.293311781308887,-15.200000000000001,-15.200000000000001,0.14617404267417555,0.16492269915286073,0.04612523866157403,156.98369600747583,42.39110988971372,15.422689249443442,0.12520168154189754,1057.6324843031257,285.44428046118435
3.0,159.0636638977656,159.21244114736683,159.2171960138121,41.21605025899433,41.38279711064648,0.7950000000000003,228.65707542999863,False,True,228.6,260,0.8,12.279818602531918,-15.200000000000001,-15.200000000000001,0.15353211604650596,0.16674685165214953,0.057075429998633354,159.0636638977656,41.62801852207544,15.21984360377346,0.1229509994508903,1019.6911215532548,285.4307839868264
3.0,159.0636638977656,159.21244114736683,159.21653640737037,41.21605025899433,41.380461455595025,0.7950000000000003,228.6500781861405,False,True,228.6,260,0.8,12.279818602531918,-15.200000000000001,-15.200000000000001,0.1528725096047765,0.16441119660069603,0.05007818614049597,159.0636638977656,41.62801852207544,15.21984360377346,0.1229509994508903,1019.6911215532548,285.4307839868264
3.0500000000000003,161.10555042240264,161.2749866106391,161.26799498605806,40.46097817548432,40.62523640132316,0.7950000000000003,228.6577893881688,False,True,228.6,260,0.8,12.266435178640052,-14.9,-14.9,0.16244456365541282,0.16425822583883587,0.05778938816879986,161.10555042240264,40.87507047499315,15.023287665109896,0.12073010782557893,982.9416600161444,285.4175346144441
