time,altitude,Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,accel_x,accel_y,accel,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,deployment,filtered_altitude,filtered_velocity,filtered_accel,saturated,predicted_apogee,predicted_apogee_no_brake,cd_total,cd_calculated,integrated_vx,integrated_vy,integrated_x,integrated_y
0,-1.222763,18.134832,2,0.91333,-0.025085,0.022827,-0.405762,1.33,4.46,78.87,9.085527,4.15145,78.373171,-0.937996,0.697124,77.671807,0,0,-1.21999425,0.615896106,76.98739784,FALSE,-1.200660886,-1.200660886,0.4,,0,0,0,0
0.00871,-1.872986,18.130189,2,0.913025,-0.025024,0.022766,-0.406433,1.96,2.49,78.12,7.992278,2.33145,77.739707,-1.472314,0.570986,77.738958,0,0,-1.272933933,1.286196062,77.68224998,FALSE,-1.188624084,-1.188624084,0.4,,0.074373841,0.02823303,0.000323898,0.000122955
0.017554,-1.501587,18.130189,2,0.912292,-0.025024,0.0224,-0.408142,2.34,2.21,79.98,8.103923,1.915162,79.610415,-1.481086,1.253052,79.589792,0,0,-1.279347144,1.973971369,79.46248988,FALSE,-1.080785452,-1.080785452,0.4,,0.145551242,0.047011548,0.001296407,0.000455686
0.029915,-1.779877,18.134832,2,0.911438,-0.025024,0.021912,-0.410034,0.85,2.1,84.27,7.225983,3.084819,83.933501,-1.632533,2.077261,83.885634,0,0,-1.291308412,2.958331453,83.59048455,FALSE,-0.845448138,-0.845448138,0.4,,0.240297726,0.07791393,0.003681146,0.001227788
0.038673,-1.501587,18.130189,2,0.90918,-0.024963,0.021301,-0.4151,2.96,2.01,84.89,8.499649,1.429596,84.527071,-1.535031,2.928833,84.520003,0,0,-1.280158424,3.68996495,84.45521598,FALSE,-0.586667479,-0.586667479,0.4,,0.309160268,0.097682554,0.006087223,0.001996725
0.04772,-1.130157,18.130189,2,0.906494,-0.025208,0.021545,-0.420898,-0.57,3.8,86.48,7.741195,5.268108,86.057395,-1.270714,4.011363,86.040454,0,0,-1.235295145,4.455752885,85.93447564,FALSE,-0.224416461,-0.224416461,0.4,,0.382625726,0.127979618,0.009216517,0.003017508
0.060389,-0.665604,18.125547,2,0.904297,-0.025757,0.022156,-0.425537,-0.15,4.21,86.9,8.526866,5.204836,86.426605,-0.861612,5.543523,86.422349,0,0,-1.137881085,5.548293709,86.38884879,FALSE,0.428623032,0.428623032,0.4,0,0.485675758,0.194320481,0.014716773,0.005059118
0.06898,-1.408478,18.125547,2,0.901001,-0.026184,0.022278,-0.432434,1.63,-3.26,86.49,3.912971,-0.893882,86.473661,-1.12864,5.811882,86.473096,0,0,-1.107638406,6.288149115,86.46715419,FALSE,0.903596653,0.903596653,0.4,0,0.539111078,0.212838184,0.019118744,0.006808068
0.080793,-0.944962,18.130189,2,0.897156,-0.026672,0.022461,-0.440308,-2.04,1.43,87.63,5.471026,4.948209,87.354478,-0.947211,6.981829,87.344765,0,0,-1.022260977,7.311077905,87.28640242,FALSE,1.694614648,1.694614648,0.4,0,0.594537657,0.236785067,0.025814641,0.009463768
0.089406,-1.222763,18.134832,2,0.893311,-0.026978,0.022644,-0.447998,-5.86,-2.41,87.64,0.23622,5.704416,87.683041,-1.043807,7.504902,87.679313,0,0,-0.971782161,8.060674936,87.65261084,FALSE,2.328819093,2.328819093,0.4,0,0.619115911,0.282660596,0.03104124,0.011700761
0.098005,-1.501587,18.130189,2,0.887817,-0.027161,0.022705,-0.458862,-0.59,8.56,87.66,12.342059,7.825159,86.858174,-1.240724,7.912141,86.867223,0,0,-0.933466252,8.807855398,86.91912328,FALSE,3.004845674,3.004845674,0.4,0,0.673196222,0.340831004,0.036597536,0.014381463
0.11051,-1.130157,18.139474,2,0.881226,-0.027222,0.0224,-0.471313,-10.28,-9.21,82.76,-7.950898,5.670305,83.332687,-1.071151,9.031766,83.371637,0,0,-0.833805353,9.887867765,83.60783881,FALSE,4.124420899,4.124420899,0.4,0,0.700651956,0.425211393,0.045187522,0.019171143
0.119369,-1.222763,18.134832,2,0.874451,-0.027039,0.022095,-0.483826,11.82,-10.51,88.51,3.129943,-13.296792,88.86838,-1.075736,9.690002,88.807807,0,0,-0.76850224,10.62642332,88.46479066,FALSE,4.953645594,4.953645594,0.4,0,0.679297536,0.391429869,0.051300008,0.022788455
0.128237,0.076279,18.125547,2,0.867432,-0.026611,0.021606,-0.496338,-9.21,-2.19,85.1,-1.108908,8.936815,85.150027,-0.319782,11.318267,85.190334,0,0,-0.632069695,11.41829489,85.40433606,FALSE,5.968790578,5.968790578,0.4,0,0.688258805,0.372097731,0.057363753,0.026173937
0.14072,-0.572998,18.130189,2,0.861267,-0.027161,0.021606,-0.506958,-2.01,9.39,80.86,12.450069,8.318799,80.039637,-0.319227,12.135469,80.096396,0,0,-0.487474163,12.47808702,80.45121734,FALSE,7.385410507,7.385410507,0.4,0,0.759044662,0.479798645,0.066397097,0.031491048
0.149355,-0.016327,18.130189,2,0.858032,-0.028015,0.020996,-0.512451,-8.58,-3.32,82.26,-1.656018,8.168821,82.352192,-0.035369,13.107343,82.327334,0,0,-0.358913219,13.17949586,82.206349,FALSE,8.415905166,8.415905166,0.4,0,0.805647977,0.550983945,0.073152658,0.035941452
0.158334,0.076797,18.134832,2,0.85791,-0.02887,0.021301,-0.512512,4.62,11.62,92.4,18.504288,3.987347,91.300671,0.150912,14.011465,91.201788,0,0,-0.222045767,13.92886172,90.60295356,FALSE,9.568885942,9.568885942,0.4,0,0.881288285,0.605559061,0.080726158,0.041133752
0.170945,0.262527,18.134832,2,0.859619,-0.029114,0.021545,-0.509644,-1.28,7.73,84.08,11.758996,7.18653,83.312162,0.39903,15.14306,83.399104,0,0,-0.024893514,15.06978103,83.87151238,FALSE,11.41650234,11.41650234,0.4,0,1.072113422,0.676015942,0.093043332,0.049214723
0.179828,-0.016327,18.130189,2,0.861938,-0.028564,0.022583,-0.505737,5.6,3.57,86.99,11.737368,-0.855002,86.445764,0.295457,15.550469,86.412191,0,0,0.106288438,15.81428983,86.24826711,FALSE,12.69148525,12.69148525,0.4,0,1.176472523,0.704137424,0.103030427,0.055344674
0.188687,0.820282,18.134832,2,0.86084,-0.02832,0.022583,-0.507507,-13.66,2.44,88.43,1.499627,15.416993,88.1615,0.740496,16.733795,88.142223,0,0,0.275967079,16.59045282,88.01471655,FALSE,14.10928523,14.10928523,0.4,0,1.235105792,0.768639763,0.113712513,0.06186834
0.235637,0.540894,18.139474,2,0.874817,-0.027222,0.027893,-0.48291,-7.94,6.26,88.31,7.686816,11.878703,87.753654,1.502024,20.709586,87.757936,0,0,1.123208418,20.70545759,87.77368263,FALSE,22.50498792,22.50498792,0.4,0,1.450757542,1.409406227,0.176763155,0.11299797
0.244023,1.376511,18.106977,2,0.878784,-0.027466,0.027954,-0.475647,0.69,2.55,88.29,9.149194,2.728612,87.812028,1.599111,21.17562,87.811432,0,0,1.303472884,21.44364454,87.80908614,FALSE,24.2016164,24.2016164,0.4,0,1.521350932,1.470654698,0.189225206,0.125074066
0.252466,2.2117,18.11162,2,0.878784,-0.027466,0.027954,-0.475647,1.04,3.97,88.17,10.516162,3.208215,87.578037,2.1446,22.665674,87.580609,0,0,1.520703762,22.20486322,87.59576312,FALSE,26.03302872,26.03302872,0.4,0,1.604368232,1.495717014,0.202420429,0.137596604
0.26414,3.047455,18.106977,2,0.887939,-0.026123,0.027954,-0.458313,0.88,3.19,86.83,9.490304,2.931275,86.323447,2.942709,24.441166,86.337301,0,0,1.8430176,23.26253788,86.42105926,FALSE,28.68233081,28.68233081,0.4,0,1.721145974,1.531553217,0.221831456,0.15526678
0.272543,2.955338,18.102335,2,0.887939,-0.026123,0.027954,-0.458313,-1.25,3.92,87.1,8.871405,5.095948,86.594823,3.158479,25.179145,86.591985,0,0,2.082477424,24.01544875,86.58149183,FALSE,30.63720431,30.63720431,0.4,0,1.798292694,1.565279594,0.236618377,0.168278123
0.281201,3.512192,18.11162,2,0.892639,-0.024536,0.027527,-0.44928,-1.44,3.62,87.95,8.303376,4.98833,87.501729,3.583979,26.176736,87.491704,0,0,2.347713342,24.80175166,87.43112831,FALSE,32.74561182,32.74561182,0.4,0,1.872642321,1.608934434,0.252509855,0.182019296
0.292789,3.419037,18.106977,2,0.897095,-0.022156,0.026978,-0.440369,-1.53,4.11,87.01,8.217444,5.114016,86.581095,3.797776,27.075854,86.59113,0,0,2.675335084,25.83806376,86.64630967,FALSE,35.58207756,35.58207756,0.4,0,1.968363952,1.667467426,0.274764645,0.201002768
0.301318,3.604843,18.116262,2,0.901428,-0.019226,0.025818,-0.431702,-0.84,3.2,86.47,7.421801,3.72918,86.133704,3.920249,27.670142,86.138744,0,0,2.92977855,26.59874445,86.17303117,FALSE,37.73494717,37.73494717,0.4,0,2.035057513,1.705179236,0.291837236,0.21538542
0.309918,3.883804,18.120904,2,0.905579,-0.015625,0.024353,-0.423218,-0.35,3.2,86.52,7.18663,2.985657,86.229417,4.140388,28.388016,86.228418,0,0,3.193115089,27.36275274,86.22509108,FALSE,39.95282352,39.95282352,0.4,0,2.097873766,1.734053035,0.30960884,0.230174118
0.322092,4.069611,18.120904,2,0.909607,-0.011475,0.0224,-0.414734,-0.38,2.35,85.37,5.814329,2.023767,85.180999,4.451375,29.380997,85.192541,0,0,3.555934482,28.42921594,85.26110187,FALSE,43.12293665,43.12293665,0.4,0,2.177010603,1.764545399,0.335630062,0.251470087
0.330708,4.905518,18.116262,2,0.913513,-0.006592,0.02002,-0.40625,-2.05,2.94,85.77,4.406194,3.129264,85.674569,4.970649,30.461029,85.669257,0,0,3.851606851,29.20098085,85.64284776,FALSE,45.50672755,45.50672755,0.4,0,2.221040616,1.786744656,0.354576866,0.266769045
0.339642,5.276657,18.116262,2,0.917297,-0.001099,0.017212,-0.397827,-0.35,1.89,85.21,3.905493,0.552026,85.140361,5.422805,31.426333,85.146189,0,0,4.165789896,30.00529919,85.17891185,FALSE,48.04688694,48.04688694,0.4,0,2.258168922,1.803188979,0.374585495,0.282805278
0.352135,5.834152,18.125547,2,0.920837,0.004944,0.013977,-0.389648,-1.81,2.05,84.46,2.060391,1.037064,84.472772,6.060161,32.74813,84.480193,0,0,4.602675722,31.11439368,84.52694715,FALSE,51.63523312,51.63523312,0.4,0,2.295434817,1.813115229,0.403029581,0.305394522
0.361022,6.20636,18.116262,2,0.924194,0.011536,0.010376,-0.381653,-0.74,1.14,84.8,1.159895,-1.15031,84.795159,6.439317,33.615953,84.791688,0,0,4.939293663,31.91341496,84.77458177,FALSE,54.30018769,54.30018769,0.4,0,2.309744158,1.812612021,0.423492694,0.321505442
