time,altitude,Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,accel_x,accel_y,accel,State Estimation y,State Estimation v,State Estimation a,Commanded servo deployment,deployment,filtered_altitude,filtered_velocity,filtered_accel,saturated,predicted_apogee,predicted_apogee_no_brake,cd_total,cd_calculated,integrated_vx,integrated_vy,integrated_x,integrated_y
0,-0.43305,19.156082,2,-0.384155,0.002808,-0.004639,-0.923218,-1.39,3.92,77.05,-1.92592,-2.922113,77.082748,0.109989,1.176394,76.365948,0,0,-0.430326838,0.605755308,75.71979175,FALSE,-0.411624871,-0.411624871,0.4,,0,0,0,0
0.008964,-1.643637,19.151441,2,-0.384155,0.002808,-0.004639,-0.923218,-3.31,-3.71,73.37,4.84537,1.053281,73.370869,-0.442637,1.083554,73.403873,0,0,-0.535011922,1.279262154,73.55026603,FALSE,-0.451608533,-0.451608533,0.4,,0.013084975,-0.008376105,5.86E-05,-3.75E-05
0.021512,-1.36376,19.156082,2,-0.384277,0.002808,-0.004639,-0.923218,1.34,-1.21,82.78,-0.219748,2.691048,82.755656,-0.720614,1.739511,82.652602,0,0,-0.586030143,2.208647445,82.04943613,FALSE,-0.337462097,-0.337462097,0.4,,0.042106127,0.015115815,0.000404916,4.74E-06
0.030385,-1.829352,19.151441,2,-0.384521,0.00293,-0.004272,-0.923096,-1.92,-1.68,83.6,2.367343,0.667917,83.60274,-1.061306,1.977877,83.59227,0,0,-0.664438487,2.932909581,83.48357035,FALSE,-0.226203485,-0.226203485,0.4,,0.051633933,0.030017863,0.000820794,0.000204979
0.039094,-1.642599,19.160724,2,-0.381226,0.003784,-0.003845,-0.924438,-5.75,-0.51,86.38,4.086289,-2.827633,86.429905,-1.228481,2.480116,86.398635,0,0,-0.711292988,3.657327542,86.20386185,FALSE,-0.03000407,-0.03000407,0.4,,0.079736273,0.02061338,0.001392845,0.000425453
0.051621,-0.991797,19.156082,2,-0.377502,0.004395,-0.003662,-0.925964,0.32,0.98,88.56,-1.389781,0.417586,88.55411,-1.113888,3.687178,88.530357,0,0,-0.682313489,4.737473845,88.37379868,FALSE,0.460290819,0.460290819,0.4,,0.096625851,0.005518051,0.002497489,0.000589127
0.060325,-0.527716,19.142157,2,-0.373779,0.004333,-0.003845,-0.92749,-3.38,0.55,90.44,1.586912,-1.80163,90.472956,-0.888431,4.740226,90.451549,0,0,-0.630323283,5.5088441,90.31190841,FALSE,0.914033875,0.914033875,0.4,0,0.097483765,-0.000505309,0.003342254,0.000610942
0.069257,-1.550512,19.146799,2,-0.367676,0.004211,-0.004333,-0.929932,0.19,-2.2,89.98,0.947828,2.738869,89.960417,-1.056223,5.260434,89.965829,0,0,-0.639898813,6.308159132,89.98738345,FALSE,1.384157402,1.384157402,0.4,0,0.108803914,0.003680401,0.004263535,0.000625122
0.081805,-1.178045,19.156082,2,-0.357666,0.004456,-0.004883,-0.933838,-3.06,1.05,91.4,1.134316,-1.700479,91.434394,-1.022437,6.357206,91.418211,0,0,-0.591995923,7.433323452,91.32337917,FALSE,2.216286587,2.216286587,0.4,0,0.121867285,0.010195259,0.005710766,0.000712178
0.090644,-0.80657,19.146799,2,-0.34436,0.0047,-0.005249,-0.938782,0.73,1.27,90.98,-1.851851,0.69449,90.970293,-0.892722,7.259279,90.975229,0,0,-0.539470403,8.237635405,90.99738181,FALSE,2.907209426,2.907209426,0.4,0,0.118696139,0.005749291,0.006773936,0.000782645
