Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment
382002910,0.96183,16.783753,2,-0.488403,0.009155,-0.007507,-0.872559,0.97,-0.03,30.21,-0.742701,1.508257,30.178795,1.017521,0.797395,29.981328,0
382012149,1.424171,16.77911,2,-0.483154,0.011047,-0.008179,-0.875427,3.6,-2.33,30.17,-0.292041,5.04067,30.052024,1.26131,1.366449,30.051245,0
382024728,0.409294,16.783753,2,-0.475708,0.013367,-0.008667,-0.879456,4.85,-8.03,30.21,3.606517,9.296082,30.020353,0.78655,1.146931,30.020693,0
382032930,1.146873,16.783753,2,-0.471069,0.013733,-0.008972,-0.881958,-1.07,8.51,30.2,-6.954787,-4.752357,30.243286,1.006069,1.69556,30.240834,0
382042070,1.24015,16.77911,2,-0.469299,0.013794,-0.010803,-0.882874,-2.38,-3.2,30.2,3.554145,0.785374,30.243948,1.158111,2.137612,30.243914,0
382054640,1.97779,16.77911,2,-0.467407,0.013916,-0.012024,-0.88385,-4.26,-0.57,30.2,2.464676,-2.1628,30.327547,1.662781,3.088398,30.326625,0
382062869,1.146873,16.783753,2,-0.463379,0.013794,-0.011719,-0.885986,-2.73,4.68,30.2,-2.697719,-3.896645,30.313944,1.38985,2.907565,30.314084,0
382072150,1.79325,16.77911,2,-0.459595,0.013611,-0.010803,-0.887939,-3.77,-6.79,30.2,7.289503,1.8008,30.265005,1.65133,3.475043,30.265546,0
382084727,2.070579,16.774467,2,-0.457092,0.013245,-0.01001,-0.889282,0.6,5.39,30.2,-5.167486,-1.746026,30.194424,1.940677,4.149943,30.195208,0
382092911,1.332939,16.774467,2,-0.453857,0.012634,-0.010132,-0.89093,1.57,-4.84,30.2,2.590546,5.005942,30.102502,1.622932,3.885431,30.103524,0
382102051,1.515937,16.783753,2,-0.448853,0.012207,-0.010071,-0.893494,-3.75,-1.58,30.2,3.120188,-1.189301,30.289458,1.597867,4.086002,30.287409,0
382114621,1.699958,16.783753,2,-0.4422,0.012207,-0.01001,-0.89679,3.52,0.12,30.2,-2.631557,3.586097,30.077578,1.710827,4.535629,30.07989,0
382122814,1.608192,16.77911,2,-0.433838,0.012329,-0.009583,-0.900879,2.55,-0.54,30.2,-1.587077,3.173816,30.103878,1.689431,4.695915,30.103614,0
382132062,2.069557,16.783753,2,-0.426575,0.012512,-0.008789,-0.904297,6.16,-2.18,30.2,-2.690276,6.939605,29.988909,1.953895,5.245096,29.990173,0
382144641,1.884498,16.783753,2,-0.422058,0.012512,-0.008606,-0.906433,0.99,-0.75,30.2,-0.528583,2.030065,30.152643,1.981989,5.575245,30.150853,0
382152811,2.16233,16.77911,2,-0.418884,0.012817,-0.009949,-0.907898,3.16,0.73,30.2,-3.056655,2.798876,30.089565,2.133224,5.973816,30.09024,0
382162066,2.16233,16.77911,2,-0.417114,0.013245,-0.011292,-0.908691,3.54,-1.64,30.2,-1.505754,4.704813,30.047614,2.206626,6.272801,30.048084,0
382174633,2.160285,16.788397,2,-0.414856,0.013306,-0.012146,-0.909729,-6.51,3.42,30.21,1.257886,-6.152641,30.451419,2.260968,6.622521,30.446975,0
382182836,2.346885,16.77911,2,-0.413696,0.013611,-0.012695,-0.910217,7.75,-0.42,30.21,-5.208935,7.148386,29.910659,2.366176,6.940854,29.916569,0
382192011,3.085105,16.77911,2,-0.413269,0.014099,-0.013245,-0.9104,-7.33,2.65,30.21,2.383312,-6.176201,30.488832,2.846806,7.73942,30.482526,0
382212282,2.438651,16.783753,2,-0.417603,0.015137,-0.01355,-0.908386,-1.53,-0.24,30.21,0.68886,0.121623,30.241579,2.770818,8.06246,30.244235,0
382221758,3.269172,16.77911,2,-0.425293,0.015808,-0.013428,-0.904846,5.67,0.38,30.21,-4.42846,5.259381,29.961166,3.14321,8.928991,29.964285,0
382231476,2.901573,16.769823,2,-0.433838,0.016113,-0.013733,-0.900757,-5.5,-1.4,30.21,4.004905,-2.253864,30.393047,3.090441,9.006255,30.388323,0
382245773,3.547553,16.774467,2,-0.443298,0.016479,-0.014954,-0.896118,-0.25,0.29,30.22,-0.570822,0.877028,30.204304,3.489398,9.804258,30.206332,0
382253265,3.36248,16.774467,2,-0.452515,0.016968,-0.015503,-0.891479,-0.22,0.28,30.22,-0.586502,0.956785,30.201255,3.489753,9.910281,30.201311,0
382262174,4.194084,16.769823,2,-0.460144,0.017944,-0.016418,-0.887512,-4.35,0.11,30.22,1.909293,-2.233975,30.389917,3.986482,10.691564,30.387838,0
382274626,4.008994,16.769823,2,-0.467102,0.019714,-0.017334,-0.88385,-3.64,1.72,30.22,0.064113,-2.489133,30.38517,4.135023,11.085492,30.385199,0
382282800,4.56121,16.77911,2,-0.473633,0.022095,-0.018616,-0.880249,-0.06,-2.48,30.23,1.460158,2.939066,30.153553,4.473859,11.684337,30.156106,0
382291942,3.915687,16.774467,2,-0.479736,0.025146,-0.019897,-0.876831,-1.34,-0.35,30.23,0.260364,0.846829,30.248738,4.25941,11.567618,30.247717,0
