Time (us),Altitude AGL (m),Temperature (deg C),Mode,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,IMU Global Acceleration x,IMU Global Acceleration y,IMU Global Acceleration z,State Estimation y,State Estimation v,State Estimation a,Servo deployment
377674097,-0.141266,16.514433,1,0.996399,0.022888,-0.046204,-0.067261,0.04,0.04,0,0.044744,0.03415,0.005633,-0.046765,-0.27598,0.005713,0
377686718,-0.141266,16.514433,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.04,0,-0.014457,0.042319,0.000293,-0.105152,-0.346059,0.000353,0
377694912,0.413986,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0,0.05,0.03,0.003741,0.048313,0.032432,0.193718,0.114315,0.032078,0
377704041,0.045349,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,-0.01,0.05,0.01,-0.004222,0.050463,0.011648,0.108913,0.003089,0.011873,0
377716583,-0.230988,16.500502,1,0.996399,0.022888,-0.046204,-0.067261,0.01,0.05,0,0.016463,0.048134,0.003481,-0.08845,-0.24687,0.003574,0
377724946,-0.232514,16.50979,1,0.996399,0.022888,-0.046204,-0.067261,0,0.03,0.01,0.003006,0.029303,0.011502,-0.174239,-0.373612,0.011414,0
377734098,0.136108,16.50979,1,0.996399,0.022888,-0.046204,-0.067261,0.01,0.06,0.02,0.015879,0.057245,0.023893,0.001957,-0.138916,0.023756,0
377746611,0.413986,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0.03,0.03,0,0.033558,0.025613,0.004225,0.239537,0.165537,0.00444,0
377754808,-0.141266,16.514433,1,0.996399,0.022888,-0.046204,-0.067261,-0.01,0.06,-0.01,-0.001,0.06115,-0.007727,0.019639,-0.16985,-0.007593,0
377764044,-0.232514,16.50979,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.03,0.02,-0.017679,0.031632,0.019669,-0.127836,-0.358356,0.019368,0
377776649,0.322723,16.500502,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.05,0.01,-0.014089,0.051824,0.010758,0.129385,-0.024976,0.010853,0
377784835,0.229919,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,-0.02,0.03,0.01,-0.016728,0.032026,0.009722,0.187603,0.064088,0.009734,0
377793958,-0.139207,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0.01,0.06,0,0.017782,0.058033,0.004,-0.000902,-0.180907,0.004063,0
377806544,-0.046418,16.500502,1,0.996399,0.022888,-0.046204,-0.067261,0,0.1,0.01,0.012241,0.098596,0.01513,-0.029612,-0.214184,0.015008,0
377814727,0.045349,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,-0.01,0.07,0.06,-0.006341,0.068291,0.062419,0.012193,-0.147509,0.061896,0
377823970,0.229919,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0.01,-0.02,0.24,-0.015608,-0.030615,0.238577,0.136828,0.01771,0.23663,0
377844145,1.242553,16.50979,2,0.99646,0.02301,-0.045959,-0.066711,-0.1,0.67,30.23,-2.87271,-0.52407,30.096261,0.791859,1.439861,29.767216,0
377853627,1.338439,16.495859,2,0.996521,0.02356,-0.045654,-0.065796,5.23,-0.98,28.25,2.378437,-2.824275,28.50864,1.130396,2.370702,28.522509,0
377863343,-0.048463,16.50979,2,0.996582,0.024048,-0.044983,-0.06543,0.99,0.06,30.23,-1.820289,-1.34285,30.161573,0.466406,1.563181,30.143511,0
377873215,0.782638,16.505146,2,0.996521,0.024353,-0.044189,-0.066101,-0.7,0.52,30.2,-3.380749,-0.680814,30.015116,0.667119,2.121383,30.01653,0
377886162,1.151809,16.505146,2,0.996521,0.024658,-0.043213,-0.066711,-1.52,0.75,30.23,-4.105691,-0.363606,29.995612,0.979545,2.892953,29.995842,0
377894576,1.982482,16.500502,2,0.996399,0.024963,-0.04248,-0.068726,-0.87,-1.07,30.23,-3.665762,-2.2649,29.953076,1.588745,4.054151,29.953547,0
377903839,1.982482,16.500502,2,0.996338,0.025146,-0.041931,-0.070068,-1.33,0.83,30.23,-3.830529,-0.32785,30.025492,1.855587,4.631087,30.024699,0
377916440,1.891204,16.495859,2,0.996338,0.025452,-0.041199,-0.070435,-1.75,1,30.22,-4.177721,-0.119209,29.997388,1.937016,5.03524,29.997689,0
377924620,1.242553,16.50979,2,0.996338,0.025879,-0.040222,-0.071228,-4.19,1.67,30.22,-6.433908,0.86901,29.857048,1.5758,4.676548,29.858598,0
377933786,1.336395,16.505146,2,0.995972,0.026062,-0.039795,-0.076233,2.73,-1.86,30.22,-0.10456,-3.641559,30.180944,1.481469,4.77768,30.177392,0
377946412,1.982482,16.500502,2,0.995667,0.025818,-0.040161,-0.079468,-3.79,1.36,30.22,-6.058334,0.58785,29.873279,1.835028,5.515589,29.87663,0
377954572,1.336395,16.505146,2,0.995605,0.025574,-0.040405,-0.080444,0.24,0.61,30.22,-2.223143,-0.780064,30.135148,1.591454,5.330475,30.132299,0
377963798,1.520477,16.505146,2,0.995361,0.025391,-0.04071,-0.08313,1.32,0.78,30.22,-1.151849,-0.775906,30.226975,1.600869,5.557434,30.225932,0
377976389,1.613281,16.500502,2,0.995178,0.02533,-0.040833,-0.085754,2.65,-1.17,30.22,-0.18239,-2.920983,30.217129,1.680444,5.946869,30.217226,0
377984588,2.07376,16.505146,2,0.995117,0.025146,-0.041138,-0.086121,-3.1,0.06,30.22,-5.638476,-0.701517,29.842544,1.958641,6.531842,29.846673,0
377993716,2.995803,16.505146,2,0.995056,0.025024,-0.041199,-0.087158,1.34,0.95,30.22,-1.13165,-0.588785,30.23772,2.619359,7.569329,30.23341,0
378006309,2.627075,16.505146,2,0.994873,0.024902,-0.041382,-0.088684,-0.9,-0.59,30.22,-3.607429,-1.694892,29.975324,2.721535,7.952377,29.978168,0
378014494,2.62503,16.514433,2,0.994995,0.024719,-0.041748,-0.087646,6.01,-2.22,30.22,2.872523,-4.509221,30.425536,2.731597,8.117905,30.420606,0
378023712,2.811691,16.505146,2,0.995178,0.024231,-0.041809,-0.085266,2.09,-3.42,30.22,-1.160806,-4.967179,30.054823,2.854031,8.453778,30.058854,0
378036287,2.534255,16.50979,2,0.995605,0.02356,-0.040955,-0.080811,1.26,0.65,30.22,-1.236833,-0.782043,30.217827,2.777062,8.601821,30.216076,0
378044484,2.442474,16.505146,2,0.996216,0.02301,-0.039917,-0.073975,-0.36,-1.57,30.22,-3.089763,-2.70444,29.983039,2.65424,8.557238,29.985607,0
378053637,3.827148,16.500502,2,0.996887,0.022583,-0.038574,-0.065308,1.45,0.95,30.22,-0.857949,-0.45881,30.254044,3.412238,9.698062,30.251086,0
378066221,3.918441,16.505146,2,0.997437,0.022278,-0.037537,-0.057129,-2.16,-1.19,30.21,-4.612488,-2.144284,29.880648,3.830532,10.440621,29.88473,0
378074390,3.549178,16.505146,2,0.997803,0.0224,-0.036499,-0.050171,-0.31,1.41,30.21,-2.437075,0.193243,30.145504,3.753414,10.442508,30.14263,0
378083579,3.73381,16.505146,2,0.998047,0.022888,-0.035767,-0.045532,7.02,0.53,30.21,4.80047,-1.404077,30.613546,3.839324,10.709376,30.608357,0
378096152,3.825103,16.50979,2,0.998047,0.023193,-0.035767,-0.045166,-4.32,0.9,30.21,-6.431765,-0.009002,29.845411,3.968075,11.074324,29.853819,0
378104338,3.640975,16.50979,2,0.998108,0.023438,-0.036072,-0.044434,5.39,-2.59,30.21,2.891084,-4.380702,30.345606,3.869751,11.038202,30.340187,0
378113602,4.565215,16.500502,2,0.998108,0.023621,-0.036438,-0.043518,-5.18,2.54,30.22,-7.190616,1.657368,29.867718,4.375616,11.828288,29.872924,0
378126166,4.378509,16.50979,2,0.998108,0.023865,-0.036743,-0.04248,-1.22,0.73,30.22,-3.429507,-0.513188,30.054026,4.528279,12.207995,30.05203,0
378134358,5.116607,16.50979,2,0.998169,0.024109,-0.037048,-0.041382,-1.29,0.01,30.22,-3.576633,-1.242983,30.009587,4.971055,12.966993,30.010055,0
378143483,4.934005,16.500502,2,0.998169,0.024353,-0.037354,-0.040222,1.71,-0.89,30.22,-0.682865,-2.404878,30.178046,5.069205,13.214953,30.176194,0
378156053,5.577239,16.514433,2,0.99823,0.024597,-0.037598,-0.03894,-2.6,0.96,30.22,-4.838178,-0.232665,29.957768,5.532644,13.960396,29.960175,0
378164250,5.577239,16.514433,2,0.998291,0.024841,-0.037842,-0.037598,-1.64,0.63,30.22,-3.924258,-0.659217,30.008347,5.67399,14.245231,30.007816,0
378173492,5.854751,16.50979,2,0.998291,0.025085,-0.038025,-0.036194,0.31,-0.68,30.22,-2.088724,-2.130748,30.081619,5.911502,14.657047,30.080806,0
378186056,5.577239,16.514433,2,0.998352,0.025208,-0.038208,-0.034668,-0.37,-0.24,30.22,-2.742486,-1.653767,30.053066,5.903907,14.789986,30.053371,0
378194243,5.762939,16.505146,2,0.998413,0.025391,-0.03833,-0.033081,-0.85,0.04,30.22,-3.206838,-1.357872,30.030737,5.944107,14.912629,30.030986,0
378203367,6.592452,16.50979,2,0.998413,0.025513,-0.038513,-0.031433,-1.27,0.13,30.22,-3.628331,-1.254589,30.002317,6.456455,15.667033,30.002633,0
378215990,6.868453,16.514433,2,0.998474,0.025635,-0.038635,-0.029785,0.4,-0.75,30.22,-2.022728,-2.249717,30.080195,6.895848,16.346524,30.079341,0
378224187,7.238876,16.505146,2,0.998535,0.025757,-0.038696,-0.027954,-0.95,-0.19,30.22,-3.334794,-1.623606,30.007169,7.230135,16.892831,30.007964,0
378233319,8.069015,16.50979,2,0.998596,0.025818,-0.038757,-0.025879,-0.36,-0.52,30.22,-2.763858,-1.996904,30.033683,7.870933,17.790257,30.0334,0
378245882,7.606735,16.514433,2,0.998657,0.025818,-0.038818,-0.023865,-0.67,-0.29,30.22,-3.06073,-1.75835,30.022025,7.943394,17.974805,30.022151,0
378254069,7.607757,16.505146,2,0.998657,0.025818,-0.038818,-0.021667,-0.05,-0.69,30.22,-2.455122,-2.193669,30.048076,7.896586,17.927417,30.04779,0
378263301,7.884307,16.50979,2,0.998718,0.025696,-0.038757,-0.019348,-0.83,-0.2,30.22,-3.203755,-1.671597,30.01531,8.056267,18.195405,30.015668,0
378272895,8.344543,16.514433,2,0.998779,0.025513,-0.038635,-0.016663,-0.65,-0.23,30.22,-3.012858,-1.707852,30.028812,8.399009,18.695,30.028668,0
378285723,9.175811,16.50979,2,0.99884,0.025208,-0.038391,-0.013794,-0.3,-0.39,30.22,-2.647677,-1.870277,30.049663,9.092863,19.660674,30.049431,0
378294095,8.991592,16.50979,2,0.998901,0.024902,-0.038147,-0.010803,-0.53,-0.38,30.22,-2.855143,-1.84553,30.035243,9.199618,19.821546,30.0354,0
378303220,9.451888,16.514433,2,0.998962,0.024597,-0.037842,-0.007629,-0.38,-0.32,30.22,-2.679277,-1.780736,30.052384,9.527771,20.287372,30.052197,0
378315802,9.451888,16.514433,2,0.998962,0.024231,-0.037537,-0.004456,-0.43,-0.33,30.22,-2.703993,-1.77788,30.051112,9.741328,20.609572,30.051124,0
378323971,10.746139,16.505146,2,0.999023,0.023865,-0.03717,-0.00116,-0.32,-0.85,30.22,-2.565635,-2.286092,30.03772,10.494494,21.738474,30.037867,0
