Simulation,Algorithm,Apogee_AGL_m,Error_m,Max_Deployment
21,INTEGRATOR,226.66555343613004,-0.06444656386995007,1.0
22,INTEGRATOR,226.6628350556237,-0.0671649443762874,1.0
23,INTEGRATOR,226.54590812331406,-0.18409187668592608,0.976
24,INTEGRATOR,226.3531572896772,-0.3768427103227907,0.96
25,INTEGRATOR,225.9983185815579,-0.7316814184420934,0.916
26,INTEGRATOR,226.44023162052633,-0.2897683794736565,1.0
27,INTEGRATOR,226.47140561724189,-0.25859438275810476,0.968
28,INTEGRATOR,226.46731838332136,-0.2626816166786341,0.974
29,INTEGRATOR,226.65015764192884,-0.07984235807114715,1.0
30,INTEGRATOR,226.57943304808526,-0.15056695191472613,0.988
31,INTEGRATOR,226.0096348777259,-0.720365122274103,0.916
32,INTEGRATOR,226.40735155759165,-0.3226484424083367,0.958
33,INTEGRATOR,226.54188026236795,-0.18811973763203582,0.964
34,INTEGRATOR,226.61926264925688,-0.11073735074310775,1.0
35,INTEGRATOR,226.4242389609194,-0.30576103908057917,0.965
36,INTEGRATOR,226.6713605737777,-0.05863942622229956,1.0
37,INTEGRATOR,226.1554496779334,-0.5745503220665853,0.935
38,INTEGRATOR,226.44068249008126,-0.28931750991873173,0.958
39,INTEGRATOR,226.47619292615423,-0.2538070738457634,0.965
40,INTEGRATOR,226.4636398187347,-0.2663601812652985,0.962
41,INTEGRATOR,226.55582746988586,-0.17417253011413436,0.982
42,INTEGRATOR,226.23416896350733,-0.49583103649266036,0.932
43,INTEGRATOR,226.57978735933392,-0.15021264066606932,1.0
44,INTEGRATOR,226.5569257721101,-0.17307422788988447,1.0
45,INTEGRATOR,226.63113584883945,-0.09886415116054081,1.0
46,INTEGRATOR,226.22651288313108,-0.5034871168689108,0.938
47,INTEGRATOR,225.97687156593906,-0.7531284340609261,0.918
48,INTEGRATOR,226.70235636296422,-0.027643637035765778,1.0
49,INTEGRATOR,226.68467569542202,-0.04532430457797432,1.0
50,INTEGRATOR,225.31352675149594,-1.4164732485040474,0.868
51,INTEGRATOR,226.6544756273766,-0.0755243726233914,1.0
52,INTEGRATOR,226.5488792408803,-0.18112075911969328,1.0
53,INTEGRATOR,226.44955065189635,-0.2804493481036445,0.983
