time,altitude,Temperature (deg C),state,IMU Quat W,IMU Quat X,IMU Quat Y,IMU Quat Z,IMU Local Acceleration X,IMU Local Acceleration Y,IMU Local Acceleration Z,accel_x,accel_y,accel,State Estimation y,State Estimation v,State Estimation a,Servo deployment,filtered_altitude,filtered_velocity,filtered_accel,saturated,thrust_accel,predicted_apogee_no_airbrake,integrated_vx,integrated_vy,integrated_x,integrated_y,Servo deployment_rate_limited,Servo deployment_rate_limited_rate_limited
0.14063,0.045349,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,-0.01,0.07,0.06,-0.006341,0.068291,0.062419,0.012193,-0.147509,0.061896,0.0,0.02993560016505986,0.1508855947157151,0.016840553864252147,False,-9.810030289098869,0.03088420277725632,0.0006376303720000001,0.006893822815500001,5.9565616321311996e-05,0.0004390092034568423,0.0,0.0
0.149873,0.229919,16.505146,1,0.996399,0.022888,-0.046204,-0.067261,0.01,-0.02,0.24,-0.015608,-0.030615,0.238577,0.136828,0.01771,0.23663,0.0,0.0544902595678724,0.29707989037289173,0.04477407758254852,False,-9.810036395660301,0.05816761212053779,0.0005361930685000001,0.007067942449500001,6.499044135158275e-05,0.0005035335016290398,0.0,0.0
0.170048,1.242553,16.50979,2,0.99646,0.02301,-0.045959,-0.066711,-0.1,0.67,30.23,-2.87271,-0.52407,30.096261,0.791859,1.439861,29.767216,0.0,0.21014017060800758,1.1538325522832746,-1.187130417147191,False,-9.810141090996332,0.26561223555419655,-0.028599714756499996,0.0014725575120000016,-0.00021810033367611722,0.000589685794990671,0.0,0.0
0.17953,1.338439,16.495859,2,0.996521,0.02356,-0.045654,-0.065796,5.23,-0.98,28.25,2.378437,-2.824275,28.50864,1.130396,2.370702,28.522509,0.0,0.36010010825013994,1.9312709713788618,-2.2589522838292493,False,-9.812128288077394,0.5155087567872505,-0.030943063049499994,-0.014401946132999985,-0.0005003926432543629,0.0005283875635385102,0.0,0.0
0.189246,-0.048463,16.50979,2,0.996582,0.024048,-0.044983,-0.06543,0.99,0.06,30.23,-1.820289,-1.34285,30.161573,0.466406,1.563181,30.143511,0.0,0.35952313159895655,2.386935160046671,9.24365259865351,False,90.72359099556186,0.596917275693416,-0.028231580065499993,-0.03464583938299999,-0.000787863059507033,0.00029011342150178225,0.0,0.0
0.199118,0.782638,16.505146,2,0.996521,0.024353,-0.044189,-0.066101,-0.7,0.52,30.2,-3.380749,-0.680814,30.015116,0.667119,2.121383,30.01653,0.0,0.4608508106838924,3.425017658751316,19.02590471564269,False,88.5973503520036,0.9496318924654902,-0.05390390363349997,-0.04463464488699998,-0.0011932838070452963,-0.00010121504885493733,0.0,0.0
0.212065,1.151809,16.505146,2,0.996521,0.024658,-0.043213,-0.066711,-1.52,0.75,30.23,-4.105691,-0.363606,29.995612,0.979545,2.892953,29.995842,0.0,0.6126915388199619,4.71122486771603,27.538735803494877,False,88.26913041761904,1.537509861911042,-0.10236737297350001,-0.05139569775699999,-0.0022049059161607116,-0.0007228674719608718,0.0,0.0
0.220479,1.982482,16.500502,2,0.996399,0.024963,-0.04248,-0.068726,-0.87,-1.07,30.23,-3.665762,-2.2649,29.953076,1.588745,4.054151,29.953547,0.0,0.8346788247579422,6.32321413821912,34.96195255978814,False,88.04513342219589,2.500638701331866,-0.13506187574450004,-0.06245382249899999,-0.0032037707655173386,-0.001201832403677864,0.0,0.0
0.229742,1.982482,16.500502,2,0.996338,0.025146,-0.041931,-0.070068,-1.33,0.83,30.23,-3.830529,-0.32785,30.025492,1.855587,4.631087,30.024699,0.0,1.0404003892903413,7.758124613659367,41.43251696193394,False,87.78829109322473,3.5482544526681457,-0.169780947511,-0.07446214412399998,-0.004615650301425186,-0.001835958703092288,0.0,0.0
0.242343,1.891204,16.495859,2,0.996338,0.025452,-0.041199,-0.070435,-1.75,1.0,30.22,-4.177721,-0.119209,29.997388,1.937016,5.03524,29.997689,0.0,1.2461203775151894,9.116865514929868,47.06146695806331,False,87.44493728855898,4.70933857823675,-0.22023692663600003,-0.07727883935349998,-0.00707295791748836,-0.0027920027694922763,0.0,0.0
